===BEGIN_STALK_TIMES===
Plot,Stalk,A_Start,A_End,A_Refine_Start,A_Refine_End,B_Start,B_End,B_Refine_Start,B_Refine_End,C_Start,C_End,C_Refine_Start,C_Refine_End
3,10,513.780,513.976,513.807,513.945,514.978,515.179,515.044,515.169,516.108,516.312,516.179,516.269
3,9,514.036,514.138,514.066,514.118,515.222,515.405,515.249,515.379,516.404,516.512,516.451,516.498
3,8,514.329,514.527,514.394,514.505,515.584,515.753,515.623,515.718,516.665,516.841,516.728,516.812
3,7,514.566,514.776,514.600,514.720,515.762,515.993,515.828,515.961,516.886,517.059,516.943,517.033
3,6,514.827,515.029,514.854,515.002,516.010,516.190,516.042,516.160,517.122,517.324,517.219,517.298
3,5,520.312,520.483,520.334,520.481,521.461,521.667,521.520,521.640,522.617,522.842,522.697,522.814
3,4,520.595,520.766,520.595,520.766,521.710,521.890,521.740,521.862,522.871,523.049,522.926,523.018
3,3,520.863,521.067,520.927,520.984,521.979,522.259,522.080,522.169,523.141,523.362,523.203,523.303
3,2,521.112,521.292,521.168,521.264,522.295,522.491,522.351,522.461,523.437,523.673,523.497,523.644
3,1,521.386,521.549,521.484,521.549,522.593,522.778,522.663,522.753,523.718,523.914,523.807,523.887
2,10,522.765,523.030,522.848,522.940,523.941,524.211,524.039,524.107,525.107,525.370,525.189,525.263
2,9,523.083,523.280,523.111,523.250,524.241,524.457,524.298,524.387,525.405,525.602,525.500,525.569
2,8,523.368,523.548,523.429,523.516,524.514,524.728,524.569,524.698,525.674,525.881,525.758,525.853
2,7,523.627,523.803,523.652,523.780,524.804,525.059,524.871,524.990,525.930,526.168,526.018,526.127
2,6,523.838,524.079,523.926,524.031,525.085,525.310,525.151,525.271,526.213,526.403,526.268,526.374
2,5,529.300,529.457,529.340,529.449,530.464,530.644,530.517,530.626,531.632,531.820,531.712,531.810
2,4,529.553,529.730,529.607,529.710,530.712,530.901,530.755,530.873,531.894,532.074,531.928,532.051
2,3,529.806,530.003,529.847,529.974,530.975,531.174,531.008,531.146,532.159,532.323,532.226,532.294
2,2,530.075,530.272,530.116,530.245,531.249,531.479,531.308,531.451,532.412,532.593,532.487,532.565
2,1,530.372,530.558,530.407,530.528,531.550,531.780,531.622,531.750,532.671,532.877,532.752,532.849
1,10,531.847,532.022,531.901,531.999,532.963,533.172,533.038,533.155,534.124,534.276,534.201,534.266
1,9,532.128,532.313,532.155,532.286,533.297,533.579,533.332,533.550,534.422,534.637,534.500,534.609
1,8,532.405,532.588,532.429,532.558,533.608,533.810,533.638,533.781,534.698,534.925,534.786,534.897
1,7,532.651,532.838,532.710,532.814,533.859,534.035,533.885,534.007,534.960,535.165,535.036,535.138
1,6,532.939,533.168,532.969,533.100,534.121,534.334,534.187,534.271,535.263,535.488,535.322,535.408
1,5,538.680,538.924,538.767,538.849,539.868,540.129,539.929,540.059,541.055,541.264,541.141,541.237
1,4,538.940,539.145,538.987,539.119,540.147,540.370,540.209,540.303,541.313,541.502,541.372,541.435
1,3,539.271,539.449,539.302,539.435,540.487,540.713,540.517,540.682,541.628,541.795,541.700,541.767
1,2,539.517,539.692,539.558,539.662,540.749,540.984,540.823,540.937,541.863,542.074,541.926,542.047
1,1,539.767,540.037,539.823,539.952,541.009,541.281,541.079,541.212,542.103,542.365,542.170,542.292
