===BEGIN_STALK_TIMES===
Plot,Stalk,A_Start,A_End,A_Refine_Start,A_Refine_End,B_Start,B_End,B_Refine_Start,B_Refine_End,C_Start,C_End,C_Refine_Start,C_Refine_End
3,10,579.399,579.590,579.442,579.558,580.718,580.972,580.806,580.961,582.027,582.235,582.099,582.192
3,9,579.617,579.811,579.660,579.776,581.017,581.210,581.039,581.177,582.371,582.457,582.414,582.449
3,8,580.009,580.229,580.051,580.190,581.409,581.613,581.456,581.594,582.676,582.884,582.738,582.849
3,7,580.276,580.494,580.314,580.447,581.639,581.856,581.673,581.829,582.939,583.092,582.977,583.066
3,6,580.571,580.800,580.599,580.766,581.901,582.113,581.937,582.082,583.188,583.390,583.278,583.362
3,5,586.801,586.994,586.807,586.976,588.113,588.340,588.149,588.315,589.419,589.660,589.485,589.636
3,4,587.068,587.267,587.092,587.205,588.357,588.579,588.391,588.552,589.691,589.864,589.769,589.838
3,3,587.433,587.626,587.461,587.606,588.591,589.039,588.591,588.591,589.985,590.210,590.045,590.168
3,2,587.673,587.872,587.697,587.846,589.059,589.297,589.099,589.237,590.302,590.560,590.390,590.531
3,1,587.991,588.174,588.017,588.172,589.351,589.562,589.384,589.534,590.642,590.856,590.705,590.827
2,10,589.547,589.841,589.581,589.745,590.898,591.185,590.964,591.074,592.213,592.497,592.301,592.422
2,9,589.927,590.138,589.977,590.120,591.236,591.464,591.279,591.421,592.569,592.764,592.628,592.729
2,8,590.247,590.451,590.292,590.425,591.548,591.782,591.586,591.751,592.874,593.085,592.937,593.055
2,7,590.536,590.752,590.573,590.719,591.878,592.167,591.968,592.084,593.170,593.413,593.246,593.365
2,6,590.818,591.033,590.848,590.973,592.186,592.399,592.211,592.367,593.463,593.675,593.529,593.646
2,5,596.961,597.186,597.018,597.158,598.300,598.525,598.343,598.483,599.646,599.855,599.706,599.825
2,4,597.251,597.434,597.271,597.432,598.572,598.791,598.599,598.759,599.913,600.111,599.988,600.086
2,3,597.550,597.755,597.593,597.724,598.884,599.128,598.919,599.098,600.201,600.394,600.263,600.364
2,2,597.845,598.073,597.889,598.044,599.216,599.462,599.253,599.427,600.496,600.691,600.559,600.661
2,1,598.178,598.394,598.208,598.364,599.546,599.792,599.591,599.756,600.820,601.033,600.881,601.003
1,10,599.849,600.054,599.907,600.027,601.136,601.376,601.212,601.347,602.441,602.630,602.511,602.604
1,9,600.174,600.389,600.207,600.359,601.520,601.766,601.554,601.736,602.788,603.010,602.876,602.982
1,8,600.487,600.683,600.512,600.654,601.850,602.059,601.879,602.028,603.118,603.326,603.199,603.299
1,7,600.764,600.977,600.794,600.951,602.122,602.322,602.147,602.293,603.389,603.601,603.461,603.576
1,6,601.129,601.372,601.175,601.304,602.413,602.671,602.505,602.600,603.707,603.969,603.778,603.880
1,5,607.600,607.858,607.627,607.834,608.906,609.208,609.009,609.124,610.277,610.499,610.358,610.470
1,4,607.903,608.113,607.925,608.090,609.242,609.506,609.301,609.424,610.586,610.771,610.649,610.720
1,3,608.262,608.508,608.292,608.461,609.652,609.895,609.726,609.865,610.924,611.102,610.979,611.072
1,2,608.540,608.708,608.585,608.706,609.972,610.198,610.003,610.147,611.196,611.404,611.270,611.376
1,1,608.835,609.095,608.888,609.051,610.237,610.489,610.274,610.455,611.479,611.712,611.543,611.681
