===BEGIN_STALK_TIMES===
Plot,Stalk,A_Start,A_End,A_Refine_Start,A_Refine_End,B_Start,B_End,B_Refine_Start,B_Refine_End,C_Start,C_End,C_Refine_Start,C_Refine_End
3,10,541.837,542.016,541.879,541.994,543.064,543.320,543.133,543.268,544.292,544.493,544.369,544.450
3,9,542.055,542.271,542.078,542.231,543.350,543.537,543.379,543.508,544.562,544.686,544.622,544.665
3,8,542.411,542.623,542.438,542.592,543.746,543.936,543.788,543.914,544.905,545.108,544.973,545.075
3,7,542.646,542.873,542.693,542.822,543.949,544.183,543.978,544.143,545.151,545.317,545.201,545.291
3,6,542.928,543.138,542.955,543.109,544.197,544.413,544.233,544.384,545.391,545.592,545.450,545.565
3,5,548.840,549.009,548.847,548.995,550.072,550.284,550.104,550.267,551.311,551.537,551.377,551.479
3,4,549.064,549.238,549.095,549.221,550.302,550.526,550.341,550.498,551.561,551.750,551.616,551.725
3,3,549.361,549.613,549.392,549.515,550.608,550.887,550.691,550.805,551.853,552.083,551.921,552.022
3,2,549.662,549.861,549.711,549.834,550.960,551.164,551.032,551.137,552.188,552.399,552.244,552.370
3,1,549.941,550.138,549.985,550.115,551.245,551.456,551.283,551.415,552.469,552.689,552.534,552.651
2,10,551.444,551.728,551.533,551.642,552.720,552.997,552.788,552.891,553.955,554.240,554.042,554.134
2,9,551.790,552.003,551.832,551.971,553.035,553.250,553.088,553.213,554.305,554.483,554.350,554.455
2,8,552.087,552.291,552.137,552.263,553.325,553.564,553.376,553.527,554.597,554.797,554.668,554.766
2,7,552.365,552.588,552.410,552.553,553.637,553.874,553.706,553.844,554.883,555.087,554.944,555.050
2,6,552.639,552.861,552.690,552.834,553.915,554.129,553.954,554.099,555.129,555.325,555.182,555.297
2,5,558.445,558.687,558.509,558.658,559.723,559.914,559.754,559.885,560.959,561.189,561.036,561.158
2,4,558.742,558.936,558.795,558.908,559.979,560.182,560.020,560.154,561.248,561.456,561.305,561.429
2,3,559.021,559.219,559.042,559.191,560.294,560.509,560.322,560.478,561.537,561.714,561.593,561.685
2,2,559.294,559.508,559.330,559.480,560.592,560.830,560.630,560.798,561.809,561.990,561.868,561.962
2,1,559.615,559.828,559.648,559.787,560.920,561.142,560.972,561.109,562.115,562.307,562.175,562.279
1,10,561.199,561.409,561.254,561.370,562.409,562.644,562.476,562.613,563.659,563.838,563.720,563.813
1,9,561.499,561.682,561.519,561.655,562.766,563.018,562.792,562.985,563.973,564.189,564.032,564.162
1,8,561.803,561.990,561.839,561.962,563.088,563.299,563.121,563.270,564.293,564.497,564.352,564.470
1,7,562.054,562.271,562.084,562.246,563.352,563.540,563.378,563.513,564.561,564.755,564.618,564.729
1,6,562.370,562.594,562.402,562.573,563.619,563.828,563.658,563.802,564.857,565.034,564.938,565.006
1,5,568.565,568.801,568.636,568.731,569.799,570.070,569.888,569.976,571.083,571.298,571.202,571.269
1,4,568.844,569.050,568.911,569.015,570.094,570.358,570.165,570.283,571.380,571.565,571.429,571.521
1,3,569.174,569.390,569.201,569.365,570.478,570.707,570.519,570.682,571.705,571.881,571.761,571.855
1,2,569.452,569.640,569.489,569.613,570.787,571.021,570.840,570.972,571.957,572.149,572.015,572.123
1,1,569.718,569.980,569.780,569.917,571.048,571.347,571.102,571.282,572.229,572.468,572.292,572.436
