===BEGIN_STALK_TIMES===
Plot,Stalk,A_Start,A_End,B_Start,B_End,C_Start,C_End
3,10,565.586,565.782,566.862,567.110,568.136,568.320
3,9,565.848,565.914,567.144,567.353,568.355,568.503
3,8,566.171,566.385,567.571,567.766,568.736,568.953
3,7,566.410,566.624,567.794,567.993,568.975,569.178
3,6,566.733,566.943,568.027,568.245,569.266,569.476
3,5,572.777,572.988,574.073,574.294,575.295,575.572
3,4,573.088,573.309,574.315,574.535,575.609,575.790
3,3,573.423,573.599,574.623,574.917,575.895,576.128
3,2,573.658,573.833,574.966,575.171,576.203,576.433
3,1,573.947,574.135,575.270,575.477,576.527,576.763
2,10,575.463,575.769,576.782,577.075,578.053,578.362
2,9,575.838,576.058,577.108,577.338,578.403,578.616
2,8,576.147,576.358,577.405,577.635,578.697,578.907
2,7,576.468,576.641,577.731,578.042,578.984,579.221
2,6,576.703,576.913,578.058,578.287,579.264,579.470
2,5,582.705,582.908,584.016,584.206,585.295,585.492
2,4,582.973,583.169,584.257,584.475,585.563,585.751
2,3,583.256,583.461,584.548,584.789,585.828,586.026
2,2,583.546,583.766,584.881,585.130,586.124,586.319
2,1,583.869,584.078,585.183,585.435,586.427,586.640
1,10,585.496,585.698,586.745,587.011,588.005,588.230
1,9,585.791,585.998,587.105,587.332,588.326,588.552
1,8,586.102,586.305,587.422,587.651,588.675,588.899
1,7,586.439,586.571,587.715,587.897,588.958,589.177
1,6,586.679,586.932,587.966,588.206,589.263,589.477
1,5,593.084,593.289,594.359,594.556,595.653,595.860
1,4,593.346,593.542,594.627,594.883,595.943,596.130
1,3,593.679,593.882,595.036,595.264,596.284,596.488
1,2,593.972,594.164,595.343,595.583,596.547,596.747
1,1,594.242,594.460,595.600,595.917,596.814,597.118
