===BEGIN_STALK_TIMES===
Plot,Stalk,A_Start,A_End,B_Start,B_End,C_Start,C_End
3,10,525.881,526.066,527.075,527.284,528.260,528.452
3,9,526.110,526.242,527.328,527.529,528.486,528.653
3,8,526.437,526.638,527.720,527.912,528.866,529.050
3,7,526.682,526.870,527.922,528.124,529.067,529.259
3,6,526.937,527.145,528.165,528.363,529.316,529.507
3,5,532.644,532.793,533.806,534.012,535.011,535.235
3,4,532.880,533.023,534.033,534.235,535.254,535.430
3,3,533.141,533.367,534.319,534.591,535.516,535.735
3,2,533.425,533.610,534.669,534.878,535.830,536.037
3,1,533.697,533.878,534.953,535.147,536.119,536.328
2,10,535.140,535.408,536.355,536.630,537.560,537.828
2,9,535.463,535.661,536.658,536.875,537.882,538.052
2,8,535.755,535.943,536.948,537.170,538.162,538.354
2,7,536.021,536.232,537.250,537.503,538.423,538.653
2,6,536.277,536.492,537.525,537.727,538.688,538.875
2,5,541.882,542.085,543.092,543.283,544.325,544.528
2,4,542.135,542.305,543.324,543.520,544.567,544.756
2,3,542.418,542.600,543.621,543.828,544.821,545.003
2,2,542.677,542.876,543.908,544.146,545.095,545.273
2,1,542.981,543.185,544.236,544.457,545.388,545.586
1,10,544.514,544.713,545.666,545.909,546.877,547.059
1,9,544.812,544.984,546.006,546.239,547.166,547.370
1,8,545.104,545.284,546.345,546.543,547.489,547.689
1,7,545.318,545.522,546.571,546.757,547.740,547.916
1,6,545.629,545.856,546.834,547.025,548.026,548.260
1,5,551.582,551.820,552.786,553.014,554.023,554.231
1,4,551.853,552.052,553.057,553.310,554.298,554.479
1,3,552.186,552.380,553.442,553.658,554.618,554.783
1,2,552.435,552.637,553.721,553.946,554.838,555.044
1,1,552.708,552.961,553.984,554.223,555.093,555.317
