Load (N),Position (mm),Strain_A1_avg,Strain_A2_avg
5.0,60.0,97501.09378604383,25931.17711937716
35.0,60.0,681555.2061882702,180605.74311686042
60.0,60.0,1167046.7299317517,309588.60570360743
5.0,75.0,123560.82005753394,51489.068346394204
35.0,75.0,863727.6983894582,360289.752389975
60.0,75.0,1478824.3430418067,617287.1289372494
5.0,95.0,158874.13347724412,86305.46636085627
35.0,95.0,1112873.4226006193,606421.4973928629
60.0,95.0,1904904.390503189,1038976.0610678007
