----------META DATA----------
SOFTWARE VERSION,2.3.0,DEVICE MAC ADDRESS,b8:27:eb:b7:a5:0b
DEVICE OPERATOR,Alex
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2022
MONTH,06
DAY,25
TIME,11:50:17,Local Time
PLOT,1,#
HEIGHT,84.0,cm
BARCODE,
LATITUDE,0.0000000,angular degrees
LONGITUDE,0.0000000,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,s04
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGTH,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,0.0066227479759960566,-0.09415581367181144,Pounds,loadx1
LOAD_Y,1.2799672328388392,-3.2800440308728036,Pounds,loady1
IMU,1,0,Deg,imu1
POT,-0.011492785084918918,217.70208147107658,Deg,pot1
----------TEST DATA-----------
TIME (milliseconds),ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
61.633,40.265,5.503,1.2304,0.0
76.79899999999999,40.208,6.257,1.2436,0.0
82.199,40.208,6.12,1.2569,0.0
87.362,40.173,5.709,1.2701,0.0
92.496,40.15,5.434,1.2768,0.0
97.619,40.15,5.434,1.2768,0.0
102.835,40.162,5.157,1.2834,0.0
107.99799999999999,40.127,5.019,1.29,0.0
113.12599999999999,40.139,5.571,1.2966,0.0
118.28699999999999,40.116,5.019,1.3032,0.0
123.39999999999999,40.139,5.434,1.3099,0.0
128.52700000000002,40.093,5.64,1.3099,0.0
133.604,40.093,5.434,1.3165,0.0
138.74599999999998,40.093,5.709,1.3231,0.0
143.82699999999997,40.07,5.434,1.3364,0.0
148.96099999999998,40.093,5.571,1.343,0.0
154.029,40.07,6.257,1.3496,0.0
159.086,40.093,6.257,1.3562,0.0
164.27999999999997,40.058,6.052,1.3695,0.0
169.33399999999997,40.093,5.983,1.3893,0.0
174.367,40.035,6.12,1.3893,0.0
179.532,40.024,5.778,1.396,0.0
184.60199999999998,40.024,5.571,1.4026,0.0
189.641,40.035,5.503,1.4026,0.0
194.679,40.024,5.64,1.4225,0.0
199.799,40.001,5.778,1.4291,0.0
204.85999999999999,39.989,5.709,1.4291,0.0
209.922,40.001,5.296,1.4423,0.0
214.92899999999997,39.989,4.95,1.4489,0.0
219.97599999999997,39.978,5.503,1.4688,0.0
225.02999999999997,39.955,4.602,1.4821,0.0
230.081,39.932,5.571,1.4821,0.0
235.123,39.932,5.503,1.4821,0.0
240.173,39.943,5.365,1.5085,0.0
245.18599999999998,39.943,4.95,1.5218,0.0
250.19799999999998,39.966,5.296,1.5218,0.0
255.20100000000002,39.966,5.778,1.535,0.0
260.28499999999997,39.989,5.983,1.5417,0.0
265.33299999999997,39.943,6.052,1.5483,0.0
270.386,39.932,6.189,1.5615,0.0
275.423,39.92,5.778,1.5549,0.0
280.46,39.909,5.503,1.5748,0.0
285.518,39.897,5.915,1.5814,0.0
290.58299999999997,39.909,5.503,1.5946,0.0
295.61299999999994,39.886,5.983,1.5946,0.0
300.649,39.84,5.778,1.6079,0.0
305.674,39.874,5.778,1.6145,0.0
310.859,39.84,5.503,1.6278,0.0
315.928,39.817,5.503,1.6344,0.0
321.029,39.84,4.88,1.641,0.0
326.044,39.817,5.434,1.6476,0.0
331.08,39.805,5.846,1.6675,0.0
336.094,39.794,5.434,1.6741,0.0
341.119,39.748,5.157,1.694,0.0
346.143,39.759,5.503,1.6874,0.0
351.15399999999994,39.736,5.157,1.7072,0.0
356.19,39.725,4.88,1.7205,0.0
361.322,39.736,5.571,1.7337,0.0
366.34,39.69,5.503,1.7337,0.0
371.407,39.69,6.189,1.7536,0.0
376.431,39.69,5.983,1.7668,0.0
381.524,39.679,5.365,1.7735,0.0
386.53299999999996,39.656,5.434,1.7867,0.0
391.62399999999997,39.667,6.052,1.8,0.0
396.675,39.621,6.12,1.8132,0.0
401.729,39.598,5.915,1.8198,0.0
406.758,39.598,6.461,1.8397,0.0
411.90099999999995,39.598,6.052,1.8397,0.0
416.91999999999996,39.575,5.709,1.8662,0.0
421.94599999999997,39.587,5.64,1.8596,0.0
426.98199999999997,39.587,5.846,1.8794,0.0
432.027,39.564,6.189,1.8927,0.0
437.036,39.552,6.12,1.9059,0.0
442.081,39.518,6.393,1.9059,0.0
447.1,39.472,6.12,1.9125,0.0
452.237,39.46,6.529,1.9258,0.0
457.294,39.449,7.004,1.939,0.0
462.416,39.426,6.733,1.939,0.0
467.423,39.403,6.733,1.9457,0.0
472.45,39.369,6.461,1.9655,0.0
477.46,39.346,6.189,1.9589,0.0
482.50399999999996,39.369,7.409,1.9788,0.0
487.52199999999993,39.357,6.529,1.9788,0.0
492.55899999999997,39.323,6.393,1.992,0.0
497.59999999999997,39.3,6.801,2.0053,0.0
502.622,39.265,6.393,2.0119,0.0
507.65099999999995,39.254,7.409,2.0185,0.0
512.783,39.219,7.004,2.0251,0.0
517.784,39.196,6.801,2.0516,0.0
522.9159999999999,39.162,6.869,2.0649,0.0
528.033,39.185,7.139,2.0715,0.0
533.137,39.185,6.937,2.0781,0.0
538.271,39.196,6.801,2.0914,0.0
543.374,39.127,6.393,2.1112,0.0
548.52,39.15,6.529,2.1112,0.0
553.6170000000001,39.127,6.597,2.1245,0.0
558.741,39.127,6.189,2.151,0.0
563.8389999999999,39.116,6.597,2.151,0.0
568.982,39.104,6.461,2.1576,0.0
574.0379999999999,39.058,6.325,2.1774,0.0
579.1109999999999,39.07,6.665,2.1841,0.0
584.1879999999999,39.024,6.665,2.1973,0.0
589.275,39.024,6.665,2.2172,0.0
594.347,39.012,6.665,2.2039,0.0
599.5169999999999,39.001,7.342,2.2172,0.0
604.636,39.001,6.937,2.2238,0.0
609.7909999999999,38.966,6.869,2.2371,0.0
614.861,38.943,7.409,2.2437,0.0
619.938,38.897,7.139,2.2503,0.0
625.0029999999999,38.874,6.801,2.2569,0.0
630.0310000000001,38.874,7.139,2.2702,0.0
635.069,38.851,6.937,2.2702,0.0
640.096,38.805,6.733,2.2967,0.0
645.122,38.794,7.004,2.3033,0.0
650.135,38.805,6.801,2.3165,0.0
655.154,38.782,6.937,2.3298,0.0
660.2869999999999,38.771,7.476,2.3364,0.0
665.3430000000001,38.759,7.207,2.343,0.0
670.357,38.759,7.207,2.343,0.0
675.386,38.748,6.665,2.3563,0.0
680.447,38.736,7.207,2.3695,0.0
685.468,38.725,7.342,2.3894,0.0
690.5649999999999,38.736,7.274,2.396,0.0
695.592,38.725,6.937,2.4159,0.0
700.631,38.667,6.801,2.4357,0.0
705.661,38.679,7.274,2.4357,0.0
710.739,38.656,7.409,2.4424,0.0
715.79,38.656,7.544,2.4556,0.0
720.814,38.622,7.409,2.4622,0.0
725.827,38.633,7.476,2.4755,0.0
730.865,38.61,7.544,2.4887,0.0
735.906,38.587,7.879,2.5152,0.0
741.0089999999999,38.576,7.611,2.5152,0.0
746.055,38.564,7.476,2.5285,0.0
751.066,38.541,7.072,2.5351,0.0
756.126,38.495,6.869,2.5351,0.0
761.169,38.472,6.869,2.5483,0.0
