----------META DATA----------
SOFTWARE VERSION,2.3.0,DEVICE MAC ADDRESS,b8:27:eb:b7:a5:0b
DEVICE OPERATOR,Alex
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2022
MONTH,06
DAY,25
TIME,11:58:52,Local Time
PLOT,2,#
HEIGHT,84.0,cm
BARCODE,
LATITUDE,0.0000000,angular degrees
LONGITUDE,0.0000000,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,s04
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGTH,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,0.0066227479759960566,-0.09415581367181144,Pounds,loadx1
LOAD_Y,1.2799672328388392,-3.2800440308728036,Pounds,loady1
IMU,1,0,Deg,imu1
POT,-0.011492785084918918,217.70208147107658,Deg,pot1
----------TEST DATA-----------
TIME (milliseconds),ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
64.72699999999999,45.816,0.148,0.1972,0.0
86.396,45.759,1.033,0.2039,0.0
94.067,45.69,1.543,0.2171,0.0
101.366,45.724,1.252,0.2039,0.0
108.71199999999999,45.69,0.739,0.2105,0.0
115.938,45.644,1.325,0.2171,0.0
123.26299999999999,45.621,1.106,0.2171,0.0
130.496,45.609,1.252,0.2171,0.0
137.80399999999997,45.586,0.886,0.2237,0.0
143.348,45.563,1.106,0.2237,0.0
148.386,45.563,1.106,0.2237,0.0
153.508,45.54,1.252,0.2304,0.0
158.486,45.517,1.252,0.2304,0.0
163.528,45.506,1.106,0.2237,0.0
168.509,45.471,1.033,0.2304,0.0
173.553,45.483,1.179,0.2304,0.0
178.59,45.448,1.471,0.2304,0.0
183.695,45.437,1.761,0.237,0.0
188.73899999999998,45.414,1.616,0.237,0.0
193.762,45.402,1.252,0.2436,0.0
198.762,45.391,1.398,0.2502,0.0
203.87199999999999,45.379,1.471,0.2436,0.0
208.93499999999997,45.379,1.398,0.2436,0.0
214.021,45.356,1.761,0.2568,0.0
219.06199999999998,45.356,2.05,0.2568,0.0
224.087,45.333,2.05,0.2635,0.0
229.10699999999997,45.345,2.122,0.2701,0.0
234.147,45.322,1.833,0.2701,0.0
239.146,45.322,1.906,0.2701,0.0
244.16299999999998,45.322,1.761,0.2701,0.0
249.19299999999998,45.31,1.325,0.2767,0.0
254.203,45.287,1.252,0.29,0.0
259.21299999999997,45.287,0.739,0.2833,0.0
264.241,45.276,0.739,0.29,0.0
269.275,45.264,1.252,0.2966,0.0
274.297,45.253,1.252,0.3032,0.0
279.301,45.253,1.543,0.3098,0.0
284.325,45.241,1.543,0.3165,0.0
289.319,45.23,0.813,0.3165,0.0
294.33699999999993,45.195,1.106,0.3231,0.0
299.347,45.172,1.179,0.3297,0.0
304.35599999999994,45.172,1.616,0.3297,0.0
309.338,45.161,1.543,0.3363,0.0
314.313,45.149,1.688,0.3363,0.0
319.322,45.126,1.398,0.3363,0.0
324.326,45.126,1.471,0.3496,0.0
329.327,45.126,1.833,0.3496,0.0
334.318,45.126,1.471,0.3562,0.0
339.323,45.103,1.398,0.3628,0.0
344.33399999999995,45.092,1.033,0.3694,0.0
349.349,45.092,0.959,0.3694,0.0
354.351,45.069,0.739,0.3761,0.0
359.337,45.069,1.106,0.3761,0.0
364.34499999999997,45.034,1.033,0.3827,0.0
369.336,45.069,1.325,0.3893,0.0
374.318,45.057,1.616,0.3893,0.0
379.31100000000004,45.034,1.471,0.3959,0.0
384.34599999999995,45.011,1.325,0.4092,0.0
389.344,44.989,0.592,0.4158,0.0
394.36699999999996,44.966,1.033,0.4224,0.0
399.35299999999995,44.954,0.886,0.4224,0.0
404.38199999999995,44.931,1.179,0.4357,0.0
409.379,44.954,1.179,0.4357,0.0
414.44899999999996,44.885,1.252,0.4357,0.0
419.453,44.885,0.959,0.4423,0.0
424.473,44.897,0.959,0.4555,0.0
429.49399999999997,44.862,1.106,0.4688,0.0
434.587,44.839,1.325,0.4754,0.0
439.60499999999996,44.851,1.106,0.4754,0.0
444.673,44.839,1.106,0.482,0.0
449.6929999999999,44.805,0.518,0.4886,0.0
454.80499999999995,44.782,0.739,0.4886,0.0
459.843,44.77,1.033,0.4953,0.0
464.87899999999996,44.77,1.106,0.5085,0.0
469.905,44.747,1.761,0.5085,0.0
474.999,44.713,1.616,0.5218,0.0
480.00499999999994,44.701,1.471,0.5218,0.0
485.207,44.644,1.978,0.5284,0.0
490.275,44.621,2.05,0.535,0.0
495.322,44.609,2.338,0.535,0.0
500.3419999999999,44.575,2.122,0.5483,0.0
505.37999999999994,44.575,1.978,0.5549,0.0
510.406,44.552,1.761,0.5549,0.0
515.5029999999999,44.529,1.543,0.5615,0.0
520.529,44.494,1.761,0.5747,0.0
525.5600000000001,44.506,1.688,0.5747,0.0
530.568,44.483,1.471,0.5814,0.0
535.617,44.46,2.266,0.5946,0.0
540.6379999999999,44.448,2.194,0.588,0.0
545.736,44.414,1.761,0.6012,0.0
550.722,44.402,1.978,0.5946,0.0
555.744,44.402,2.194,0.6079,0.0
560.737,44.391,2.266,0.6079,0.0
565.739,44.368,2.194,0.6145,0.0
570.75,44.391,2.194,0.6343,0.0
575.762,44.368,2.41,0.6277,0.0
580.771,44.356,2.553,0.6277,0.0
585.781,44.345,2.982,0.6343,0.0
590.776,44.333,2.482,0.6476,0.0
595.7719999999999,44.322,2.05,0.6476,0.0
600.78,44.31,2.625,0.6542,0.0
605.7810000000001,44.276,2.911,0.6608,0.0
610.773,44.276,2.553,0.6741,0.0
615.76,44.264,1.978,0.6807,0.0
620.769,44.264,2.553,0.694,0.0
625.843,44.264,2.41,0.6873,0.0
630.8679999999999,44.207,2.553,0.7006,0.0
635.865,44.196,2.41,0.7072,0.0
640.841,44.184,2.122,0.7072,0.0
645.9079999999999,44.161,1.978,0.7072,0.0
650.918,44.127,2.41,0.7138,0.0
656.0039999999999,44.092,2.625,0.7271,0.0
661.005,44.092,3.053,0.7337,0.0
666.107,44.092,2.911,0.7337,0.0
671.06,44.081,2.482,0.7536,0.0
676.155,44.069,2.696,0.7469,0.0
681.1519999999999,44.035,2.768,0.7602,0.0
686.159,44.046,2.982,0.7668,0.0
691.153,44.046,2.696,0.7668,0.0
696.1579999999999,44.035,2.05,0.7734,0.0
701.1469999999999,44.012,2.266,0.78,0.0
706.151,43.989,2.482,0.7933,0.0
711.133,43.977,2.338,0.7933,0.0
716.143,43.977,2.266,0.7999,0.0
721.1339999999999,43.989,2.41,0.8065,0.0
726.126,43.977,2.768,0.8132,0.0
731.146,43.977,2.839,0.8198,0.0
736.163,43.966,2.553,0.8198,0.0
741.1679999999999,43.954,2.553,0.8264,0.0
746.1829999999999,43.931,2.338,0.8264,0.0
751.164,43.931,2.553,0.8264,0.0
756.174,43.92,3.053,0.8264,0.0
761.1719999999999,43.92,2.911,0.8397,0.0
766.168,43.897,3.053,0.8463,0.0
771.1589999999999,43.908,3.337,0.8595,0.0
776.162,43.874,2.839,0.8529,0.0
781.164,43.897,2.768,0.8529,0.0
