----------META DATA----------
SOFTWARE VERSION,2.3.0,DEVICE MAC ADDRESS,b8:27:eb:b7:a5:0b
DEVICE OPERATOR,Alex
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2022
MONTH,06
DAY,25
TIME,11:54:15,Local Time
PLOT,2,#
HEIGHT,84.0,cm
BARCODE,
LATITUDE,0.0000000,angular degrees
LONGITUDE,0.0000000,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,s01
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGTH,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,0.0066227479759960566,-0.09415581367181144,Pounds,loadx1
LOAD_Y,1.2799672328388392,-3.2800440308728036,Pounds,loady1
IMU,1,0,Deg,imu1
POT,-0.011492785084918918,217.70208147107658,Deg,pot1
----------TEST DATA-----------
TIME (milliseconds),ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
64.99,48.586,0.222,0.7403,0.0
84.261,48.574,0.148,0.7536,0.0
89.62599999999999,48.528,-0.075,0.7536,0.0
94.85099999999998,48.528,0.148,0.7668,0.0
99.916,48.528,0.518,0.7668,0.0
104.981,48.505,0.886,0.7734,0.0
110.089,48.505,0.813,0.7867,0.0
115.287,48.528,0.666,0.7734,0.0
120.351,48.505,0.148,0.78,0.0
125.497,48.517,0.518,0.7867,0.0
130.53799999999998,48.494,0.222,0.7933,0.0
135.601,48.494,0.297,0.8065,0.0
140.644,48.482,0.592,0.8065,0.0
145.706,48.482,0.444,0.8132,0.0
150.73499999999999,48.505,0.222,0.8198,0.0
155.799,48.517,0.959,0.8198,0.0
160.838,48.505,0.592,0.8264,0.0
166.00199999999998,48.471,0.666,0.8198,0.0
171.09,48.459,0.886,0.833,0.0
176.26500000000001,48.448,0.592,0.8264,0.0
181.32,48.436,0.518,0.8463,0.0
186.388,48.436,0.297,0.8463,0.0
191.435,48.402,0.297,0.8397,0.0
196.642,48.402,0.813,0.8397,0.0
201.733,48.379,0.148,0.8463,0.0
206.87,48.367,0.074,0.8595,0.0
211.90099999999998,48.367,0.959,0.8661,0.0
216.95999999999998,48.356,0.444,0.8728,0.0
222.00699999999998,48.321,0.074,0.8728,0.0
227.10999999999999,48.321,0.592,0.8661,0.0
232.18599999999998,48.321,0.371,0.8661,0.0
237.35799999999998,48.31,-0.075,0.8728,0.0
242.452,48.31,0.222,0.8794,0.0
247.527,48.275,0.074,0.8926,0.0
252.64199999999997,48.264,0.074,0.8926,0.0
257.69399999999996,48.252,-0.0,0.8926,0.0
262.787,48.241,0.148,0.8993,0.0
267.84799999999996,48.229,-0.075,0.8993,0.0
272.952,48.241,-0.0,0.9059,0.0
278.02,48.218,-0.448,0.9125,0.0
283.133,48.218,-0.224,0.9191,0.0
288.21799999999996,48.206,-0.0,0.9191,0.0
293.34099999999995,48.195,0.371,0.9257,0.0
298.407,48.206,-0.598,0.9324,0.0
303.46799999999996,48.218,0.222,0.9522,0.0
308.503,48.138,0.148,0.9589,0.0
313.531,48.126,0.074,0.9589,0.0
318.61400000000003,48.103,-0.075,0.9721,0.0
323.675,48.115,0.371,0.9854,0.0
328.71,48.103,0.371,0.992,0.0
333.734,48.08,0.444,0.992,0.0
338.777,48.057,0.148,0.9854,0.0
343.922,48.046,0.592,0.9986,0.0
348.984,48.023,0.886,1.0052,0.0
354.027,48.011,0.666,1.0118,0.0
359.07099999999997,48.0,0.518,1.0118,0.0
364.199,48.0,0.666,1.0251,0.0
369.282,47.988,0.371,1.0317,0.0
374.386,47.988,0.074,1.0317,0.0
379.447,48.011,0.739,1.045,0.0
384.57199999999995,48.023,0.886,1.045,0.0
389.661,48.0,0.592,1.0582,0.0
394.763,47.965,1.252,1.0582,0.0
399.871,47.954,0.518,1.0714,0.0
405.029,47.965,0.959,1.0714,0.0
410.086,47.919,1.325,1.0714,0.0
415.248,47.931,1.325,1.0913,0.0
420.351,47.931,1.325,1.0913,0.0
425.525,47.908,1.325,1.0979,0.0
430.60099999999994,47.896,1.252,1.1178,0.0
435.748,47.896,1.252,1.1178,0.0
440.84499999999997,47.862,1.179,1.1178,0.0
445.941,47.873,1.325,1.1244,0.0
451.01,47.873,0.959,1.1509,0.0
456.084,47.85,0.739,1.1443,0.0
461.17900000000003,47.862,0.371,1.1509,0.0
466.352,47.862,1.106,1.1575,0.0
471.42,47.839,0.813,1.1642,0.0
476.464,47.816,0.371,1.1708,0.0
481.50499999999994,47.793,0.666,1.1774,0.0
486.643,47.793,0.297,1.1907,0.0
491.67699999999996,47.793,0.371,1.1907,0.0
496.81499999999994,47.804,0.813,1.2105,0.0
501.84799999999996,47.793,0.739,1.2105,0.0
506.87799999999993,47.758,0.813,1.2105,0.0
511.92199999999997,47.77,1.252,1.2171,0.0
516.965,47.77,0.886,1.2171,0.0
521.977,47.77,1.325,1.2304,0.0
527.005,47.735,0.813,1.237,0.0
532.04,47.747,0.813,1.2503,0.0
537.1890000000001,47.747,0.959,1.2436,0.0
542.221,47.724,0.739,1.2569,0.0
547.3439999999999,47.724,0.592,1.2635,0.0
552.429,47.712,0.518,1.2768,0.0
557.5089999999999,47.724,1.106,1.2768,0.0
562.583,47.701,0.886,1.2834,0.0
567.686,47.689,0.739,1.2834,0.0
572.7959999999999,47.678,1.033,1.29,0.0
577.843,47.666,0.666,1.29,0.0
582.963,47.643,0.666,1.2966,0.0
588.071,47.643,1.033,1.3032,0.0
593.212,47.643,1.033,1.3165,0.0
598.2839999999999,47.609,0.518,1.3297,0.0
603.3879999999999,47.609,0.148,1.3297,0.0
608.448,47.609,0.739,1.3297,0.0
613.486,47.597,0.739,1.343,0.0
618.516,47.574,0.886,1.343,0.0
623.649,47.563,0.739,1.3562,0.0
628.685,47.563,0.518,1.3628,0.0
633.721,47.551,0.739,1.3695,0.0
638.78,47.54,0.592,1.3695,0.0
643.906,47.528,0.518,1.3761,0.0
648.934,47.528,0.592,1.396,0.0
653.9639999999999,47.528,1.033,1.4026,0.0
658.983,47.505,0.518,1.4026,0.0
664.003,47.505,0.518,1.4092,0.0
669.034,47.505,0.739,1.4158,0.0
674.149,47.494,0.959,1.4225,0.0
679.203,47.482,0.739,1.4225,0.0
684.327,47.459,0.592,1.4357,0.0
689.3589999999999,47.448,0.886,1.4357,0.0
694.379,47.413,0.518,1.4489,0.0
699.3929999999999,47.413,1.761,1.4622,0.0
704.437,47.402,1.616,1.4622,0.0
709.4619999999999,47.368,1.252,1.4688,0.0
714.49,47.368,0.959,1.4821,0.0
719.519,47.379,0.739,1.4821,0.0
724.561,47.379,0.592,1.4821,0.0
729.5749999999999,47.345,1.033,1.4887,0.0
734.611,47.322,0.959,1.4953,0.0
739.646,47.333,1.471,1.5019,0.0
744.811,47.322,1.543,1.5085,0.0
749.8509999999999,47.287,1.325,1.5284,0.0
754.9619999999999,47.276,0.592,1.535,0.0
760.006,47.264,0.959,1.5417,0.0
765.049,47.264,0.813,1.5483,0.0
770.083,47.253,0.297,1.5615,0.0
