----------META DATA----------
SOFTWARE VERSION,2.3.0,DEVICE MAC ADDRESS,b8:27:eb:b7:a5:0b
DEVICE OPERATOR,Alex
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2022
MONTH,06
DAY,25
TIME,12:16:06,Local Time
PLOT,3,#
HEIGHT,84.0,cm
BARCODE,
LATITUDE,0.0000000,angular degrees
LONGITUDE,0.0000000,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,s02
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGTH,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,0.0066227479759960566,-0.09415581367181144,Pounds,loadx1
LOAD_Y,1.2799672328388392,-3.2800440308728036,Pounds,loady1
IMU,1,0,Deg,imu1
POT,-0.011492785084918918,217.70208147107658,Deg,pot1
----------TEST DATA-----------
TIME (milliseconds),ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
66.203,49.045,1.761,0.6079,0.0
87.53099999999999,48.999,1.833,0.6277,0.0
95.343,48.988,1.978,0.6343,0.0
103.114,48.965,2.05,0.6476,0.0
110.79299999999999,48.965,1.616,0.6343,0.0
116.503,48.942,1.978,0.6542,0.0
121.678,48.931,1.471,0.6608,0.0
126.78899999999999,48.942,0.886,0.6675,0.0
131.971,48.942,0.592,0.6675,0.0
137.112,48.931,1.106,0.6741,0.0
142.21599999999998,48.919,1.179,0.6741,0.0
147.317,48.908,1.106,0.6807,0.0
152.374,48.896,0.813,0.6873,0.0
157.468,48.896,1.033,0.6873,0.0
162.649,48.885,1.761,0.7006,0.0
167.759,48.896,1.616,0.694,0.0
172.914,48.862,1.688,0.694,0.0
178.02599999999998,48.85,1.761,0.7072,0.0
183.236,48.873,1.543,0.7204,0.0
188.32999999999998,48.85,1.833,0.7271,0.0
193.44499999999996,48.827,1.252,0.7271,0.0
198.518,48.816,1.688,0.7337,0.0
203.64499999999998,48.804,1.616,0.7337,0.0
208.75,48.804,2.194,0.7403,0.0
213.856,48.793,1.978,0.7469,0.0
218.945,48.781,1.906,0.7536,0.0
224.078,48.724,1.761,0.7734,0.0
229.289,48.689,2.41,0.7602,0.0
234.47899999999998,48.666,1.833,0.7734,0.0
239.621,48.666,1.471,0.7734,0.0
244.757,48.666,1.688,0.7867,0.0
249.932,48.62,1.616,0.7933,0.0
255.03599999999997,48.643,1.833,0.7999,0.0
260.28299999999996,48.62,1.398,0.8132,0.0
265.50399999999996,48.609,1.033,0.8065,0.0
270.611,48.563,1.543,0.8132,0.0
275.723,48.574,1.325,0.8264,0.0
280.89799999999997,48.54,0.592,0.8198,0.0
285.991,48.528,1.252,0.833,0.0
291.16999999999996,48.54,1.543,0.833,0.0
296.277,48.517,1.106,0.8397,0.0
301.481,48.505,1.471,0.8463,0.0
306.612,48.482,1.761,0.8595,0.0
311.76300000000003,48.494,1.978,0.8595,0.0
316.91700000000003,48.471,1.833,0.8728,0.0
322.061,48.436,1.761,0.8728,0.0
327.17199999999997,48.425,1.688,0.8794,0.0
332.40500000000003,48.436,1.761,0.886,0.0
337.56399999999996,48.413,1.398,0.886,0.0
342.727,48.39,1.179,0.8926,0.0
347.902,48.39,1.688,0.8926,0.0
353.09399999999994,48.39,1.471,0.9059,0.0
358.244,48.367,1.978,0.9125,0.0
363.38899999999995,48.333,1.978,0.9324,0.0
368.465,48.356,1.616,0.9257,0.0
373.793,48.333,1.833,0.9324,0.0
378.92499999999995,48.321,1.471,0.9324,0.0
384.11799999999994,48.333,1.688,0.939,0.0
389.341,48.287,2.122,0.9522,0.0
394.492,48.275,1.761,0.9589,0.0
399.60599999999994,48.264,1.543,0.9655,0.0
404.74,48.241,1.978,0.9787,0.0
409.881,48.241,1.543,0.9721,0.0
414.977,48.218,2.05,0.9854,0.0
420.14599999999996,48.229,1.688,0.9854,0.0
425.29999999999995,48.149,1.616,0.9854,0.0
430.378,48.149,1.761,0.992,0.0
435.46,48.126,1.761,1.0118,0.0
440.608,48.126,2.194,1.0052,0.0
445.72299999999996,48.103,2.338,1.0118,0.0
450.839,48.103,2.266,1.0118,0.0
455.90500000000003,48.08,2.266,1.0185,0.0
461.03499999999997,48.069,2.553,1.0251,0.0
466.142,48.057,2.266,1.0383,0.0
471.23199999999997,48.034,2.122,1.0383,0.0
476.34499999999997,48.046,2.194,1.0383,0.0
481.45799999999997,48.011,2.05,1.045,0.0
486.531,48.034,1.978,1.0516,0.0
491.756,48.0,1.688,1.0516,0.0
496.865,47.977,1.833,1.0516,0.0
501.992,48.011,1.833,1.0516,0.0
507.0439999999999,48.0,1.978,1.0582,0.0
512.175,47.977,2.194,1.0582,0.0
517.266,47.942,2.768,1.0648,0.0
522.448,47.931,2.482,1.0714,0.0
527.4879999999999,47.919,2.482,1.0781,0.0
532.706,47.908,2.625,1.0714,0.0
537.8,47.896,2.911,1.0714,0.0
542.868,47.896,2.982,1.0714,0.0
547.957,47.873,2.982,1.0979,0.0
553.064,47.885,2.839,1.0913,0.0
558.129,47.862,2.553,1.0913,0.0
563.342,47.862,2.839,1.0913,0.0
568.3779999999999,47.839,2.911,1.0979,0.0
573.55,47.827,2.696,1.0913,0.0
578.576,47.816,2.696,1.1178,0.0
583.7,47.793,3.195,1.1178,0.0
588.77,47.781,2.982,1.1112,0.0
593.869,47.758,3.053,1.1244,0.0
598.9129999999999,47.758,2.982,1.1244,0.0
604.005,47.747,2.768,1.1311,0.0
609.083,47.724,2.41,1.1244,0.0
614.278,47.724,2.911,1.1244,0.0
619.4419999999999,47.758,2.553,1.1443,0.0
624.563,47.724,1.906,1.1377,0.0
629.7009999999999,47.701,2.625,1.1509,0.0
634.805,47.689,2.41,1.1443,0.0
639.95,47.701,2.482,1.1575,0.0
645.049,47.678,2.911,1.1642,0.0
650.242,47.689,2.338,1.1642,0.0
655.307,47.655,2.122,1.1708,0.0
660.4,47.643,2.266,1.1708,0.0
665.506,47.62,2.41,1.1774,0.0
670.6,47.62,2.482,1.1774,0.0
675.667,47.609,2.266,1.1907,0.0
680.8689999999999,47.586,2.122,1.1907,0.0
685.9569999999999,47.563,2.266,1.1973,0.0
691.1189999999999,47.563,2.982,1.2039,0.0
696.17,47.574,3.124,1.2105,0.0
701.294,47.551,2.553,1.2039,0.0
706.337,47.54,2.266,1.2171,0.0
711.4319999999999,47.505,1.906,1.2304,0.0
716.548,47.517,2.482,1.2171,0.0
721.6519999999999,47.517,2.696,1.237,0.0
726.7119999999999,47.482,2.696,1.2503,0.0
731.824,47.482,1.761,1.2436,0.0
736.9129999999999,47.459,2.122,1.2503,0.0
742.004,47.459,2.338,1.2503,0.0
747.0939999999999,47.448,2.625,1.2569,0.0
752.17,47.436,2.839,1.2635,0.0
757.236,47.425,1.978,1.2635,0.0
762.449,47.459,2.194,1.2701,0.0
767.505,47.402,2.553,1.2768,0.0
772.698,47.39,2.553,1.2834,0.0
777.7839999999999,47.345,2.839,1.29,0.0
782.866,47.345,2.839,1.2966,0.0
787.905,47.345,2.839,1.2966,0.0
