Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.075880,+0018746,+0622525,0.076056,-8388608,-8388608,0.076319,+0301242,-0141404,0.073974,-0398942,+0614803,0.076261,+0852866,+0378137,20:51:46.436834
0.079124,+0018849,+0622767,0.079330,-8388608,-8388608,0.079556,+0301345,-0141609,0.079614,-0398816,+0615031,0.079047,+0852654,+0377962,20:51:46.436834
0.082373,+0018681,+0622505,0.082569,-8388608,-8388608,0.082791,+0301522,-0141494,0.082445,-0398837,+0614995,0.081833,+0852555,+0378245,20:51:46.468353
0.085631,+0018721,+0622423,0.085807,-8388608,-8388608,0.086076,+0301478,-0141563,0.085252,-0398850,+0614949,0.084623,+0852557,+0378226,20:51:46.468353
0.088878,+0018839,+0622503,0.089090,-8388608,-8388608,0.089312,+0301490,-0141590,0.088057,-0399014,+0615038,0.087410,+0852442,+0377812,20:51:46.468353
0.092125,+0019015,+0622548,0.092328,-8388608,-8388608,0.092549,+0301348,-0141389,0.093678,-0399177,+0614913,0.092985,+0852591,+0378153,20:51:46.468353
0.095387,+0019015,+0622628,0.095567,-8388608,-8388608,0.095789,+0301348,-0141532,0.096520,-0399177,+0614931,0.095849,+0852591,+0378343,20:51:46.468353
0.098633,+0018911,+0622613,0.098813,-8388608,-8388608,0.099024,+0301441,-0141554,0.099325,-0398926,+0615145,0.098692,+0852543,+0378181,20:51:46.468353
0.101880,+0019003,+0622799,0.102052,-8388608,-8388608,0.102261,+0300987,-0141446,0.102133,-0398846,+0615009,0.101482,+0852544,+0378311,20:51:46.468353
0.105134,+0019003,+0622712,0.105301,-8388608,-8388608,0.105504,+0301420,-0141540,0.104973,-0398846,+0614759,0.104282,+0852544,+0378306,20:51:46.468353
0.108384,+0018974,+0622621,0.108538,-8388608,-8388608,0.108744,+0300985,-0141468,0.107839,-0399147,+0614954,0.107068,+0852667,+0378276,20:51:46.468353
0.111633,+0018800,+0622643,0.111776,-8388608,-8388608,0.111980,+0301446,-0141570,0.113465,-0399041,+0615008,0.112654,+0852762,+0377948,20:51:46.468353
0.114927,+0018800,+0622725,0.115013,-8388608,-8388608,0.115220,+0301446,-0141556,0.116271,-0398772,+0615002,0.115465,+0852671,+0378028,20:51:46.468353
0.118172,+0018807,+0622589,0.118250,-8388608,-8388608,0.118455,+0301398,-0141654,0.119077,-0398924,+0614923,0.118310,+0853049,+0378131,20:51:46.468353
0.121417,+0018955,+0622759,0.121488,-8388608,-8388608,0.121690,+0301424,-0141677,0.121883,-0398948,+0615116,0.121097,+0852651,+0378325,20:51:46.468353
0.124665,+0018955,+0622547,0.124782,-8388608,-8388608,0.124964,+0301424,-0141375,0.124723,-0398948,+0615116,0.123895,+0852651,+0378077,20:51:46.468353
0.127910,+0018924,+0622567,0.128019,-8388608,-8388608,0.128199,+0301479,-0141544,0.127528,-0398938,+0614973,0.126686,+0852797,+0377954,20:51:46.468353
0.131156,+0018958,+0622645,0.131256,-8388608,-8388608,0.131434,+0301314,-0141516,0.130334,-0398945,+0615048,0.129474,+0852802,+0377984,20:51:46.468353
0.134405,+0019007,+0622544,0.134497,-8388608,-8388608,0.134671,+0301368,-0141560,0.133144,-0398992,+0615181,0.132260,+0852828,+0378132,20:51:46.468353
0.137655,+0018843,+0622726,0.137737,-8388608,-8388608,0.137907,+0301233,-0141466,0.135960,-0398753,+0615363,0.137837,+0852923,+0378194,20:51:46.468353
0.140910,+0018877,+0622607,0.140974,-8388608,-8388608,0.141144,+0301571,-0141393,0.138767,-0398935,+0615187,0.140623,+0852718,+0378046,20:51:46.468353
0.144158,+0019034,+0622376,0.144218,-8388608,-8388608,0.144379,+0301344,-0141599,0.144437,-0399118,+0614765,0.143414,+0852752,+0377923,20:51:46.468353
0.147405,+0018985,+0622593,0.147519,-8388608,-8388608,0.147653,+0301402,-0141493,0.147245,-0398750,+0614907,0.146202,+0852505,+0378220,20:51:46.468353
0.150669,+0019022,+0622601,0.150755,-8388608,-8388608,0.150888,+0301437,-0141523,0.150053,-0398797,+0614908,0.148988,+0852678,+0378117,20:51:46.468353
