===BEGIN_METADATA===
Test Name: 2026-04-08_204904_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: For validation against DARLING. Hi-STIFFS v3.2
Test Type: Medium Lab w/o tops
"Speed: 50 ft/min,Stalk Spacing: 6in,Probe Height (m): 0.785
Number of ICB-Sensors: 5",Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010767,+0018767,+0622387,0.010982,-8388608,-8388608,0.011194,+0289497,-0147718,0.009030,-0398870,+0614827,0.009088,+0854066,+0378277,20:49:07.488396
0.014048,+0018956,+0622519,0.014233,-8388608,-8388608,0.014456,+0289608,-0147371,0.011838,-0399166,+0614867,0.011908,+0854199,+0378070,20:49:07.554810
0.017299,+0018798,+0622788,0.017470,-8388608,-8388608,0.017693,+0289409,-0147564,0.017595,-0399152,+0614933,0.017530,+0853858,+0378235,20:49:07.554810
0.020545,+0019116,+0622780,0.020716,-8388608,-8388608,0.020932,+0289291,-0147597,0.020441,-0399182,+0614904,0.020374,+0853956,+0378227,20:49:07.554810
0.023790,+0018699,+0622498,0.023957,-8388608,-8388608,0.024172,+0289504,-0147615,0.023255,-0399243,+0614979,0.023185,+0853930,+0378179,20:49:07.554810
0.027040,+0018887,+0622608,0.027203,-8388608,-8388608,0.027429,+0289367,-0147696,0.026061,-0398964,+0614807,0.025978,+0853950,+0377977,20:49:07.554810
0.030288,+0018958,+0622628,0.030442,-8388608,-8388608,0.030664,+0289619,-0147418,0.028892,-0399157,+0614833,0.028764,+0854075,+0377888,20:49:07.554810
0.033535,+0018795,+0622385,0.033682,-8388608,-8388608,0.033902,+0289598,-0147658,0.031750,-0399134,+0614772,0.031551,+0854064,+0377938,20:49:07.554810
0.036784,+0018683,+0622725,0.036919,-8388608,-8388608,0.037192,+0289018,-0147471,0.034555,-0399196,+0614695,0.037134,+0853735,+0378074,20:49:07.554810
0.040028,+0018772,+0622704,0.040231,-8388608,-8388608,0.040443,+0289635,-0147424,0.040171,-0398989,+0614824,0.039920,+0853964,+0377961,20:49:07.554810
0.043273,+0018707,+0622771,0.043468,-8388608,-8388608,0.043684,+0289205,-0147529,0.042988,-0398956,+0614893,0.042715,+0853695,+0377945,20:49:07.554810
0.046529,+0018775,+0622667,0.046709,-8388608,-8388608,0.046965,+0289441,-0147648,0.045792,-0399164,+0614900,0.045511,+0854011,+0378206,20:49:07.554810
0.049782,+0018883,+0622615,0.049977,-8388608,-8388608,0.050200,+0289805,-0147642,0.048641,-0399109,+0614863,0.048300,+0853881,+0378138,20:49:07.554810
0.053044,+0018981,+0622580,0.053216,-8388608,-8388608,0.053448,+0289144,-0147475,0.051486,-0398846,+0614676,0.051089,+0853938,+0378035,20:49:07.554810
0.056289,+0018725,+0622603,0.056453,-8388608,-8388608,0.056741,+0289504,-0147590,0.054314,-0398960,+0614652,0.056682,+0853921,+0378152,20:49:07.554810
0.059581,+0018954,+0622642,0.059689,-8388608,-8388608,0.059987,+0289704,-0147515,0.059928,-0398974,+0614595,0.059523,+0853994,+0377935,20:49:07.554810
0.062830,+0018781,+0622715,0.062928,-8388608,-8388608,0.063234,+0289469,-0147551,0.062770,-0398939,+0614948,0.062311,+0853791,+0377931,20:49:07.554810
0.066074,+0019045,+0622680,0.066165,-8388608,-8388608,0.066469,+0289558,-0147605,0.065577,-0399041,+0614960,0.065105,+0854145,+0377954,20:49:07.554810
0.069378,+0019014,+0622741,0.069437,-8388608,-8388608,0.069708,+0289626,-0147557,0.068384,-0398986,+0615149,0.067924,+0853938,+0377855,20:49:07.554810
0.072652,+0018814,+0622704,0.072710,-8388608,-8388608,0.072945,+0289521,-0147609,0.071190,-0398971,+0614950,0.070713,+0854130,+0378020,20:49:07.554810
0.075898,+0018716,+0622760,0.075956,-8388608,-8388608,0.076181,+0289766,-0147716,0.074000,-0399054,+0614845,0.073508,+0853885,+0378062,20:49:07.554810
0.079141,+0018906,+0622646,0.079200,-8388608,-8388608,0.079416,+0289480,-0147696,0.076806,-0399087,+0614913,0.079083,+0854091,+0378069,20:49:07.554810
0.082387,+0018958,+0622590,0.082507,-8388608,-8388608,0.082693,+0289430,-0147537,0.082448,-0398974,+0614795,0.081877,+0853933,+0378095,20:49:07.588288
0.085633,+0018823,+0622782,0.085746,-8388608,-8388608,0.085927,+0289688,-0147721,0.085253,-0399267,+0614832,0.084676,+0854135,+0378000,20:49:07.588288
0.088921,+0018859,+0622998,0.088982,-8388608,-8388608,0.089162,+0289465,-0147648,0.088060,-0399008,+0614820,0.087465,+0854144,+0377795,20:49:07.588288
0.092170,+0018804,+0622630,0.092247,-8388608,-8388608,0.092399,+0289569,-0147564,0.090869,-0399002,+0614755,0.093077,+0853950,+0378097,20:49:07.588288
0.095433,+0018988,+0622816,0.095493,-8388608,-8388608,0.095648,+0289569,-0147398,0.093714,-0399110,+0614865,0.095874,+0853806,+0378359,20:49:07.588288
0.098719,+0018906,+0622655,0.098778,-8388608,-8388608,0.098942,+0289420,-0147466,0.096535,-0399224,+0614915,0.098660,+0853782,+0377950,20:49:07.588288
0.101966,+0018850,+0622667,0.102033,-8388608,-8388608,0.102220,+0289699,-0147524,0.102160,-0398796,+0614824,0.101460,+0853889,+0377944,20:49:07.588288
0.105256,+0018697,+0622701,0.105316,-8388608,-8388608,0.105456,+0289640,-0147661,0.104979,-0399046,+0614703,0.104330,+0853889,+0378087,20:49:07.588288
0.108501,+0018812,+0622388,0.108618,-8388608,-8388608,0.108692,+0289694,-0147773,0.107784,-0398943,+0614991,0.107133,+0854010,+0377926,20:49:07.588288
0.111746,+0018774,+0622466,0.111854,-8388608,-8388608,0.111929,+0289651,-0147678,0.110590,-0398955,+0614657,0.109953,+0853818,+0377959,20:49:07.588288
0.115000,+0018879,+0622650,0.115115,-8388608,-8388608,0.115174,+0289666,-0147522,0.113436,-0399087,+0614999,0.112743,+0853879,+0377961,20:49:07.588288
0.118245,+0018884,+0622838,0.118381,-8388608,-8388608,0.118440,+0289638,-0147545,0.116241,-0399104,+0614837,0.118321,+0853950,+0378011,20:49:07.588288
0.121493,+0018837,+0622745,0.121619,-8388608,-8388608,0.121679,+0289564,-0147603,0.121854,-0398959,+0614897,0.121110,+0854150,+0377894,20:49:07.588288
0.124757,+0018717,+0622530,0.124857,-8388608,-8388608,0.124972,+0289541,-0147684,0.124699,-0398945,+0614816,0.123900,+0854150,+0378042,20:49:07.588288
0.128002,+0019055,+0622648,0.128139,-8388608,-8388608,0.128208,+0289465,-0147723,0.127504,-0398929,+0614870,0.126688,+0853947,+0378113,20:49:07.588288
0.131248,+0018758,+0622559,0.131376,-8388608,-8388608,0.131443,+0289718,-0147734,0.130309,-0399236,+0615110,0.132260,+0854017,+0377986,20:49:07.588288
0.134495,+0018803,+0622524,0.134616,-8388608,-8388608,0.134688,+0289621,-0147634,0.133128,-0399059,+0614725,0.135049,+0854022,+0378017,20:49:07.588288
0.137741,+0018756,+0622841,0.137896,-8388608,-8388608,0.137955,+0289817,-0147639,0.135960,-0398769,+0614737,0.137837,+0853932,+0378111,20:49:07.588288
