===BEGIN_METADATA===
Test Name: 2026-04-08_203911_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: For validation against DARLING. Hi-STIFFS v3.2
Test Type: Medium Lab w/o tops
"Speed: 25 ft/min,Stalk Spacing: 6in,Probe Height (m): 0.785
Number of ICB-Sensors: 5",Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010868,+0019377,+0623095,0.011059,-8388608,-8388608,0.011262,+0304811,-0138830,0.011947,-0398949,+0614011,0.011859,+0855222,+0380119,20:39:20.750381
0.014135,+0019334,+0623086,0.014296,-8388608,-8388608,0.014499,+0304769,-0138615,0.014765,-0399027,+0614162,0.014664,+0855200,+0379921,20:39:20.783873
0.017423,+0019451,+0623036,0.017546,-8388608,-8388608,0.017738,+0304272,-0138533,0.017604,-0399065,+0614100,0.017484,+0855128,+0379960,20:39:20.816994
0.020687,+0019354,+0623198,0.020784,-8388608,-8388608,0.020975,+0304133,-0138785,0.020409,-0399047,+0614250,0.020275,+0855222,+0380288,20:39:20.816994
0.023938,+0019419,+0622905,0.024021,-8388608,-8388608,0.024222,+0304519,-0138853,0.023214,-0398849,+0614248,0.023065,+0855235,+0379993,20:39:20.816994
0.027186,+0019508,+0623121,0.027257,-8388608,-8388608,0.027493,+0304833,-0138604,0.026028,-0398970,+0614250,0.025900,+0855410,+0379967,20:39:20.816994
0.030443,+0019640,+0622923,0.030556,-8388608,-8388608,0.030731,+0304373,-0138390,0.028879,-0399093,+0614199,0.028712,+0854981,+0380042,20:39:20.816994
0.033689,+0019361,+0623007,0.033797,-8388608,-8388608,0.033968,+0304201,-0138692,0.031686,-0399021,+0614198,0.031509,+0855089,+0380043,20:39:20.816994
0.036937,+0019499,+0622931,0.037034,-8388608,-8388608,0.037202,+0304352,-0138690,0.034496,-0398610,+0614309,0.037099,+0855325,+0379967,20:39:20.816994
0.040185,+0019386,+0622891,0.040276,-8388608,-8388608,0.040437,+0303602,-0138537,0.040120,-0399132,+0614156,0.039889,+0855177,+0380080,20:39:20.816994
0.043437,+0019402,+0622917,0.043515,-8388608,-8388608,0.043676,+0304126,-0138735,0.042925,-0399040,+0614159,0.042681,+0855064,+0379798,20:39:20.816994
