===BEGIN_METADATA===
Test Name: 2026-04-08_204451_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: For validation against DARLING. Hi-STIFFS v3.2
Test Type: Medium Lab w/o tops
"Speed: 25 ft/min,Stalk Spacing: 6in,Probe Height (m): 0.785
Number of ICB-Sensors: 5",Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010953,+0019361,+0622935,0.011165,-8388608,-8388608,0.008353,+0303335,-0139517,0.008991,-0398928,+0614401,0.009049,+0855055,+0379543,20:44:54.419068
0.014250,+0019423,+0622625,0.014425,-8388608,-8388608,0.011592,+0303298,-0139246,0.011797,-0398972,+0614725,0.011855,+0855380,+0379511,20:44:54.452674
0.017562,+0019351,+0622963,0.017785,-8388608,-8388608,0.014984,+0302590,-0139374,0.017445,-0398913,+0614575,0.017505,+0855231,+0379819,20:44:54.452674
0.020806,+0019253,+0622904,0.021021,-8388608,-8388608,0.021457,+0301809,-0138930,0.020254,-0398783,+0614520,0.020312,+0855242,+0379728,20:44:54.452674
0.024075,+0019110,+0623016,0.024262,-8388608,-8388608,0.024758,+0302097,-0138967,0.023083,-0399069,+0614390,0.023200,+0855051,+0379706,20:44:54.452674
0.027335,+0019201,+0622908,0.027512,-8388608,-8388608,0.027996,+0301925,-0139110,0.025940,-0398894,+0614512,0.025998,+0854960,+0379851,20:44:54.452674
0.030584,+0019429,+0622755,0.030749,-8388608,-8388608,0.031232,+0302230,-0139437,0.031685,-0399061,+0614258,0.031598,+0855182,+0379740,20:44:54.452674
0.033848,+0019429,+0622856,0.033992,-8388608,-8388608,0.034481,+0302230,-0139208,0.034541,-0399011,+0614331,0.034422,+0855154,+0379843,20:44:54.452674
0.037103,+0019113,+0622935,0.037269,-8388608,-8388608,0.037717,+0301951,-0139140,0.037346,-0399025,+0614581,0.037210,+0854887,+0379732,20:44:54.452674
0.040349,+0019380,+0622812,0.040509,-8388608,-8388608,0.040969,+0303261,-0139386,0.040187,-0398836,+0614547,0.040001,+0855355,+0379495,20:44:54.452674
0.043598,+0019380,+0622703,0.043758,-8388608,-8388608,0.044263,+0303261,-0139144,0.043009,-0398836,+0614513,0.042798,+0854960,+0379492,20:44:54.452674
0.046842,+0019390,+0622819,0.047049,-8388608,-8388608,0.047499,+0303453,-0139398,0.045817,-0398727,+0614710,0.045597,+0855411,+0379595,20:44:54.452674
0.050088,+0019411,+0622859,0.050305,-8388608,-8388608,0.050734,+0303363,-0139531,0.048626,-0398703,+0614814,0.048383,+0855074,+0379281,20:44:54.452674
0.053339,+0019400,+0622987,0.053542,-8388608,-8388608,0.054020,+0303390,-0139526,0.051436,-0398935,+0614438,0.053962,+0855415,+0379424,20:44:54.452674
0.056586,+0019476,+0622950,0.056806,-8388608,-8388608,0.057255,+0303439,-0139175,0.057099,-0398895,+0614501,0.056748,+0855559,+0379650,20:44:54.452674
0.059832,+0019347,+0622834,0.060043,-8388608,-8388608,0.060490,+0303408,-0139563,0.059904,-0398943,+0614556,0.059534,+0855086,+0379597,20:44:54.452674
0.063083,+0019381,+0622861,0.063281,-8388608,-8388608,0.063773,+0303331,-0139467,0.062713,-0398910,+0614590,0.062321,+0855501,+0379395,20:44:54.452674
0.066329,+0019379,+0622856,0.066559,-8388608,-8388608,0.067008,+0303204,-0139556,0.065521,-0398735,+0614500,0.065108,+0855462,+0379616,20:44:54.452674
0.069574,+0019470,+0622911,0.069796,-8388608,-8388608,0.070242,+0303347,-0139292,0.068328,-0399006,+0614525,0.067894,+0855359,+0379597,20:44:54.452674
0.072818,+0019441,+0622719,0.073033,-8388608,-8388608,0.073529,+0303303,-0139688,0.071134,-0398882,+0614566,0.073466,+0855518,+0379446,20:44:54.452674
0.076063,+0019401,+0622883,0.076315,-8388608,-8388608,0.076806,+0303171,-0139371,0.076748,-0398865,+0614575,0.076257,+0855446,+0379520,20:44:54.452674
0.079339,+0019432,+0622871,0.079552,-8388608,-8388608,0.080043,+0303309,-0139492,0.079610,-0398805,+0614516,0.079050,+0855321,+0379703,20:44:54.452674
0.082590,+0019438,+0622739,0.082793,-8388608,-8388608,0.083291,+0303223,-0139442,0.082427,-0398897,+0614599,0.081837,+0855440,+0379671,20:44:54.519052
0.085838,+0019439,+0622680,0.086078,-8388608,-8388608,0.086526,+0303560,-0139507,0.085233,-0398747,+0614482,0.084626,+0855406,+0379653,20:44:54.519052
0.089095,+0019556,+0622811,0.089316,-8388608,-8388608,0.089761,+0303155,-0139305,0.088042,-0398869,+0614381,0.087413,+0855612,+0379863,20:44:54.519052
0.092391,+0019429,+0622946,0.092563,-8388608,-8388608,0.093073,+0303277,-0139325,0.090849,-0398931,+0614564,0.093012,+0855717,+0379586,20:44:54.519052
0.095636,+0019354,+0622943,0.095858,-8388608,-8388608,0.096310,+0303295,-0139343,0.093685,-0398864,+0614403,0.095800,+0855444,+0379464,20:44:54.519052
0.098880,+0019478,+0622731,0.099095,-8388608,-8388608,0.099591,+0303380,-0139310,0.099317,-0398670,+0614332,0.098586,+0855390,+0379519,20:44:54.519052
0.102127,+0019467,+0622611,0.102334,-8388608,-8388608,0.102829,+0303246,-0139265,0.102192,-0398763,+0614518,0.101374,+0855434,+0379386,20:44:54.519052
0.105377,+0019350,+0622870,0.105616,-8388608,-8388608,0.106064,+0303433,-0139437,0.105001,-0398890,+0614509,0.104164,+0855390,+0379562,20:44:54.519052
