===BEGIN_METADATA===
Test Name: 2026-04-08_203555_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: For validation against DARLING. Hi-STIFFS v3.2
Test Type: Medium Lab w/o tops
"Speed: 25 ft/min,Stalk Spacing: 6in,Probe Height (m): 0.785
Number of ICB-Sensors: 5",Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010710,+0019638,+0622934,0.010919,-8388608,-8388608,0.008110,+0304734,-0138763,0.008968,-0398987,+0614014,0.009028,+0855357,+0380141,20:35:58.156140
0.013989,+0019560,+0623194,0.014175,-8388608,-8388608,0.011345,+0304749,-0138662,0.011777,-0399041,+0613978,0.011844,+0855404,+0380021,20:35:58.189556
0.017243,+0019457,+0623272,0.017414,-8388608,-8388608,0.014721,+0303431,-0138765,0.017534,-0399103,+0613997,0.017475,+0855080,+0380500,20:35:58.189556
0.020490,+0019477,+0623314,0.020661,-8388608,-8388608,0.017956,+0303284,-0138403,0.020386,-0399051,+0613854,0.020318,+0855040,+0380332,20:35:58.189556
0.023740,+0019545,+0623120,0.023903,-8388608,-8388608,0.021199,+0303423,-0138318,0.023200,-0399090,+0613748,0.023133,+0855121,+0380401,20:35:58.189556
0.026989,+0019447,+0623113,0.027142,-8388608,-8388608,0.024456,+0303216,-0138248,0.026005,-0398825,+0613856,0.025919,+0855044,+0380302,20:35:58.189556
0.030286,+0019493,+0622960,0.030386,-8388608,-8388608,0.027701,+0304158,-0138290,0.028826,-0399106,+0614125,0.028709,+0855245,+0380139,20:35:58.189556
0.033532,+0019595,+0623057,0.033629,-8388608,-8388608,0.030939,+0304248,-0138613,0.031632,-0398929,+0613803,0.031503,+0855171,+0380106,20:35:58.189556
0.036788,+0019636,+0623183,0.036865,-8388608,-8388608,0.034188,+0303202,-0138565,0.034443,-0399201,+0613775,0.034317,+0855174,+0380324,20:35:58.189556
0.040039,+0019364,+0623156,0.040159,-8388608,-8388608,0.037433,+0303654,-0138519,0.040099,-0399169,+0613780,0.039935,+0854962,+0380280,20:35:58.189556
0.043285,+0019408,+0623022,0.043397,-8388608,-8388608,0.040670,+0303867,-0138375,0.042925,-0398972,+0613893,0.042735,+0854969,+0380020,20:35:58.189556
0.046532,+0019675,+0623004,0.046633,-8388608,-8388608,0.043938,+0304630,-0138719,0.045732,-0398974,+0613704,0.045524,+0855218,+0380239,20:35:58.189556
0.049781,+0019567,+0622916,0.049872,-8388608,-8388608,0.047219,+0304659,-0138740,0.048538,-0399056,+0613869,0.048329,+0855191,+0380128,20:35:58.189556
0.053027,+0019507,+0623012,0.053109,-8388608,-8388608,0.050453,+0304690,-0138763,0.051345,-0399319,+0613895,0.051118,+0855171,+0380267,20:35:58.189556
0.056271,+0019573,+0623211,0.056347,-8388608,-8388608,0.053696,+0304729,-0138737,0.054150,-0399078,+0614022,0.053921,+0855134,+0380064,20:35:58.189556
0.059553,+0019521,+0622957,0.059612,-8388608,-8388608,0.057013,+0304749,-0138773,0.056955,-0398883,+0613878,0.059495,+0855128,+0380012,20:35:58.189556
0.062847,+0019651,+0622857,0.062908,-8388608,-8388608,0.060250,+0304743,-0138755,0.062568,-0398820,+0613949,0.062281,+0855114,+0380129,20:35:58.189556
0.066093,+0019601,+0623039,0.066151,-8388608,-8388608,0.063489,+0304935,-0138896,0.065379,-0399129,+0613955,0.065072,+0854939,+0379982,20:35:58.189556
