===BEGIN_STALK_TIMES===
Stalk,A_Start,A_End,B_Start,B_End,C_Start,C_End
0,3.730,4.482,,,,
1,4.622,5.387,,,7.932,8.702
2,5.174,5.923,,,7.932,8.702
3,5.865,6.608,6.044,6.856,8.584,9.361
4,6.402,7.160,6.044,6.856,9.160,9.928
5,7.137,7.884,6.691,7.483,9.872,10.647
6,7.804,8.558,7.324,8.020,10.463,11.210
7,8.343,9.039,8.018,8.821,11.100,11.869
8,9.243,9.960,9.280,10.128,12.195,13.000
9,9.849,10.598,9.971,10.622,13.182,13.961
10,10.504,11.253,10.392,11.231,13.182,13.961
11,11.100,11.789,11.361,12.091,13.837,14.631
12,11.744,12.500,11.361,12.091,14.496,15.260
13,12.387,13.146,12.003,12.821,14.916,15.762
14,13.080,13.791,12.606,13.377,15.702,16.475
15,13.638,14.405,13.207,14.062,16.355,17.128
