=====
Mass (g),Position (cm),Avg Strain A1,Avg Strain A2,Avg Strain B1,Avg Strain B2
100.0,6.0,0.23804817572132148,0.13996714827405857,0.23804817572132148,0.13996714827405857
100.0,11.0,0.23367896553811532,0.1354591001025524,0.23367896553811532,0.1354591001025524
1000.0,6.0,0.19974532781862744,0.13084740732230393,0.19974532781862744,0.13084740732230393
1000.0,11.0,0.15867106119791666,0.08943684895833333,0.15867106119791666,0.08943684895833333
