===BEGIN_METADATA===
Test Type: Force Cycle,Force: 20N,Cycles: 100,Dwell Time: 1sec,Tool Accuracy: +/-0.05N
Test Number in Session: 01,Time since Last Test: ~30min
Number of ICB-Sensors: 1,Sensor Label(s): A
ICB-Sensor A's Serial#: 001,Length: 100mm,Spacing: 40mm,Saturation Load: 70N,Factor of Safety at Saturation: 1.5
ICB-Sensor A's Latest Calibration: N/A, kA1: 1.0, dA1: 1.0, cA1: 1.0, kA2: 1.0, dA2: 1.0, cA2: 1.0
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
===END_METADATA===
===BEGIN_DATA===
Time_A,Strain_A1_raw,Strain_A2_raw,Time_B,Strain_B1_raw,Strain_B2_raw,Current_Time
0.590831,-0448529,-0552040,0.590831,-0448529,-0552040,11:57:35.764079
0.600825,-0447654,-0551611,0.600825,-0447654,-0551611,11:57:35.764079
0.610821,-0448283,-0551565,0.610821,-0448283,-0551565,11:57:35.764079
0.620817,-0448098,-0552139,0.620817,-0448098,-0552139,11:57:35.809903
0.630850,-0447889,-0551355,0.630850,-0447889,-0551355,11:57:35.809903
0.640853,-0448411,-0552042,0.640853,-0448411,-0552042,11:57:35.810908
0.650851,-0447502,-0551563,0.650851,-0447502,-0551563,11:57:35.810908
0.660849,-0448302,-0551537,0.660849,-0448302,-0551537,11:57:35.810908
0.670870,-0448057,-0552053,0.670870,-0448057,-0552053,11:57:35.856097
0.680905,-0447847,-0551171,0.680905,-0447847,-0551171,11:57:35.857091
0.690906,-0448454,-0552012,0.690906,-0448454,-0552012,11:57:35.857091
0.700902,-0447684,-0551633,0.700902,-0447684,-0551633,11:57:35.857091
0.710896,-0448428,-0551515,0.710896,-0448428,-0551515,11:57:35.902987
0.720957,-0448112,-0552117,0.720957,-0448112,-0552117,11:57:35.903986
0.730986,-0448464,-0551241,0.730986,-0448464,-0551241,11:57:35.903986
0.741025,-0448464,-0551970,0.741025,-0448464,-0551970,11:57:35.903986
0.751026,-0447609,-0551556,0.751026,-0447609,-0551556,11:57:35.903986
0.761020,-0447954,-0551560,0.761020,-0447954,-0551560,11:57:35.949930
0.771054,-0447954,-0552138,0.771054,-0447954,-0552138,11:57:35.950915
0.781058,-0447773,-0551325,0.781058,-0447773,-0551325,11:57:35.950915
0.791054,-0448595,-0552039,0.791054,-0448595,-0552039,11:57:35.950915
0.801050,-0447672,-0551668,0.801050,-0447672,-0551668,11:57:35.950915
0.811045,-0448240,-0551481,0.811045,-0448240,-0551481,11:57:35.997907
0.821101,-0448179,-0552133,0.821101,-0448179,-0552133,11:57:35.997907
0.831101,-0447842,-0551212,0.831101,-0447842,-0551212,11:57:35.997907
0.841099,-0448480,-0551951,0.841099,-0448480,-0551951,11:57:35.997907
0.851093,-0447685,-0551566,0.851093,-0447685,-0551566,11:57:36.042914
0.861158,-0448327,-0551376,0.861158,-0448327,-0551376,11:57:36.043914
0.871191,-0448118,-0552049,0.871191,-0448118,-0552049,11:57:36.043914
0.881234,-0447942,-0551235,0.881234,-0447942,-0551235,11:57:36.043914
0.891232,-0448581,-0552044,0.891232,-0448581,-0552044,11:57:36.043914
0.901229,-0447696,-0551540,0.901229,-0447696,-0551540,11:57:36.090922
0.911259,-0448269,-0551415,0.911259,-0448269,-0551415,11:57:36.090922
0.921255,-0448125,-0552139,0.921255,-0448125,-0552139,11:57:36.090922
0.931250,-0447922,-0551143,0.931250,-0447922,-0551143,11:57:36.090922
0.941248,-0448595,-0551949,0.941248,-0448595,-0551949,11:57:36.090922
0.951247,-0447562,-0551624,0.951247,-0447562,-0551624,11:57:36.139444
0.961289,-0448170,-0551400,0.961289,-0448170,-0551400,11:57:36.139444
0.971283,-0448032,-0552047,0.971283,-0448032,-0552047,11:57:36.139444
0.981316,-0447709,-0551271,0.981316,-0447709,-0551271,11:57:36.139444
0.991312,-0448463,-0551805,0.991312,-0448463,-0551805,11:57:36.184987
1.001362,-0447523,-0551522,1.001362,-0447523,-0551522,11:57:36.185991
1.011392,-0448203,-0551269,1.011392,-0448203,-0551269,11:57:36.185991
1.021388,-0448089,-0552134,1.021388,-0448089,-0552134,11:57:36.185991
1.031391,-0447796,-0551092,1.031391,-0447796,-0551092,11:57:36.185991
1.041419,-0448481,-0551753,1.041419,-0448481,-0551753,11:57:36.233117
1.051452,-0447558,-0551538,1.051452,-0447558,-0551538,11:57:36.233117
1.061448,-0448308,-0551481,1.061448,-0448308,-0551481,11:57:36.234116
1.071445,-0448080,-0551974,1.071445,-0448080,-0551974,11:57:36.234116
1.081475,-0447683,-0551224,1.081475,-0447683,-0551224,11:57:36.234116
1.091488,-0448425,-0551856,1.091488,-0448425,-0551856,11:57:36.278913
1.101520,-0447581,-0551641,1.101520,-0447581,-0551641,11:57:36.278913
1.111519,-0448253,-0551287,1.111519,-0448253,-0551287,11:57:36.278913
1.121515,-0448072,-0551976,1.121515,-0448072,-0551976,11:57:36.278913
1.131511,-0447721,-0551221,1.131511,-0447721,-0551221,11:57:36.325911
1.141511,-0448487,-0551885,1.141511,-0448487,-0551885,11:57:36.325911
1.151540,-0447575,-0551539,1.151540,-0447575,-0551539,11:57:36.325911
1.161534,-0448273,-0551341,1.161534,-0448273,-0551341,11:57:36.325911
1.171528,-0448041,-0551988,1.171528,-0448041,-0551988,11:57:36.325911
1.181548,-0447618,-0551009,1.181548,-0447618,-0551009,11:57:36.373956
1.191579,-0448549,-0551857,1.191579,-0448549,-0551857,11:57:36.374957
1.201575,-0447561,-0551647,1.201575,-0447561,-0551647,11:57:36.374957
1.211571,-0448154,-0551355,1.211571,-0448154,-0551355,11:57:36.374957
1.221649,-0448075,-0552095,1.221649,-0448075,-0552095,11:57:36.376459
1.231652,-0447860,-0551134,1.231652,-0447860,-0551134,11:57:36.424576
1.241744,-0448469,-0551893,1.241744,-0448469,-0551893,11:57:36.424576
1.251747,-0447612,-0551626,1.251747,-0447612,-0551626,11:57:36.424576
1.261741,-0448182,-0551266,1.261741,-0448182,-0551266,11:57:36.425571
1.271737,-0448053,-0552011,1.271737,-0448053,-0552011,11:57:36.425571
1.281757,-0447615,-0551050,1.281757,-0447615,-0551050,11:57:36.479648
1.291814,-0448476,-0551851,1.291814,-0448476,-0551851,11:57:36.480642
1.301810,-0447639,-0551573,1.301810,-0447639,-0551573,11:57:36.480642
1.311805,-0448288,-0551315,1.311805,-0448288,-0551315,11:57:36.480642
1.321811,-0448168,-0552013,1.321811,-0448168,-0552013,11:57:36.480642
1.331805,-0447748,-0551247,1.331805,-0447748,-0551247,11:57:36.480642
1.341802,-0448545,-0551718,1.341802,-0448545,-0551718,11:57:36.526861
1.351834,-0447690,-0551619,1.351834,-0447690,-0551619,11:57:36.528859
1.361837,-0448148,-0551251,1.361837,-0448148,-0551251,11:57:36.528859
1.371833,-0448108,-0551985,1.371833,-0448108,-0551985,11:57:36.529858
1.381830,-0448449,-0551020,1.381830,-0448449,-0551020,11:57:36.572683
1.391892,-0448449,-0551728,1.391892,-0448449,-0551728,11:57:36.572683
1.401892,-0447656,-0551591,1.401892,-0447656,-0551591,11:57:36.575681
1.411886,-0448082,-0551244,1.411886,-0448082,-0551244,11:57:36.576687
1.421883,-0448119,-0552067,1.421883,-0448119,-0552067,11:57:36.576687
1.431881,-0447711,-0551166,1.431881,-0447711,-0551166,11:57:36.619035
1.441930,-0448492,-0551734,1.441930,-0448492,-0551734,11:57:36.621037
1.451930,-0447717,-0551581,1.451930,-0447717,-0551581,11:57:36.621037
1.461928,-0448110,-0551298,1.461928,-0448110,-0551298,11:57:36.621037
1.471924,-0448185,-0552105,1.471924,-0448185,-0552105,11:57:36.667495
1.481939,-0447659,-0551107,1.481939,-0447659,-0551107,11:57:36.669128
1.492008,-0448455,-0551685,1.492008,-0448455,-0551685,11:57:36.669128
1.502015,-0447679,-0551648,1.502015,-0447679,-0551648,11:57:36.669128
1.512014,-0448053,-0551087,1.512014,-0448053,-0551087,11:57:36.669128
1.522044,-0448097,-0552123,1.522044,-0448097,-0552123,11:57:36.711555
1.532074,-0447742,-0551118,1.532074,-0447742,-0551118,11:57:36.713560
1.542075,-0448390,-0551726,1.542075,-0448390,-0551726,11:57:36.713560
1.552105,-0447554,-0551636,1.552105,-0447554,-0551636,11:57:36.713560
1.562101,-0448009,-0551292,1.562101,-0448009,-0551292,11:57:36.714552
1.572099,-0448275,-0551991,1.572099,-0448275,-0551991,11:57:36.759633
1.582134,-0447747,-0551230,1.582134,-0447747,-0551230,11:57:36.759633
1.592160,-0448508,-0551792,1.592160,-0448508,-0551792,11:57:36.759633
1.602161,-0447649,-0551664,1.602161,-0447649,-0551664,11:57:36.759633
1.612155,-0447996,-0551261,1.612155,-0447996,-0551261,11:57:36.804548
1.622194,-0448286,-0551994,1.622194,-0448286,-0551994,11:57:36.805543
1.632198,-0447628,-0551135,1.632198,-0447628,-0551135,11:57:36.805543
1.642194,-0448481,-0551752,1.642194,-0448481,-0551752,11:57:36.805543
1.652190,-0447669,-0551744,1.652190,-0447669,-0551744,11:57:36.805543
1.662185,-0448149,-0551220,1.662185,-0448149,-0551220,11:57:36.851707
1.672226,-0448154,-0552109,1.672226,-0448154,-0552109,11:57:36.851707
1.682225,-0447656,-0551173,1.682225,-0447656,-0551173,11:57:36.851707
1.692246,-0448403,-0551738,1.692246,-0448403,-0551738,11:57:36.851707
1.702266,-0447674,-0551640,1.702266,-0447674,-0551640,11:57:36.851707
1.712262,-0448061,-0551150,1.712262,-0448061,-0551150,11:57:36.897282
1.722297,-0448327,-0552044,1.722297,-0448327,-0552044,11:57:36.897282
1.732294,-0447638,-0551099,1.732294,-0447638,-0551099,11:57:36.897282
1.742292,-0448592,-0551730,1.742292,-0448592,-0551730,11:57:36.897282
1.752296,-0447518,-0551668,1.752296,-0447518,-0551668,11:57:36.942643
1.762326,-0448075,-0551204,1.762326,-0448075,-0551204,11:57:36.942643
