===BEGIN_METADATA===
Test Type: Force Cycle,Force: 20N,Cycles: 100,Dwell Time: 1sec,Tool Accuracy: +/-0.05N
Test Number in Session: 01,Time since Last Test: ~30min
Number of ICB-Sensors: 1,Sensor Label(s): A
ICB-Sensor A's Serial#: 001,Length: 100mm,Spacing: 40mm,Saturation Load: 70N,Factor of Safety at Saturation: 1.5
ICB-Sensor A's Latest Calibration: N/A, kA1: 1.0, dA1: 1.0, cA1: 1.0, kA2: 1.0, dA2: 1.0, cA2: 1.0
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
===END_METADATA===
===BEGIN_DATA===
Time_A,Strain_A1_raw,Strain_A2_raw,Time_B,Strain_B1_raw,Strain_B2_raw,Current_Time
255.065733,+0129563,-0251506,255.065733,+0129563,-0251506,12:01:50.252838
255.075765,+0129639,-0250561,255.075765,+0129639,-0250561,12:01:50.252838
255.085764,+0129168,-0251401,255.085764,+0129168,-0251401,12:01:50.252838
255.095774,+0129875,-0250930,255.095774,+0129875,-0250930,12:01:50.252838
255.105773,+0129121,-0250937,255.105773,+0129121,-0250937,12:01:50.252838
255.115770,+0129489,-0251447,255.115770,+0129489,-0251447,12:01:50.301476
255.125839,+0129613,-0250734,255.125839,+0129613,-0250734,12:01:50.301476
255.135868,+0129104,-0251495,255.135868,+0129104,-0251495,12:01:50.301476
255.145867,+0129987,-0251013,255.145867,+0129987,-0251013,12:01:50.301476
255.155863,+0129151,-0250908,255.155863,+0129151,-0250908,12:01:50.301476
255.165858,+0129489,-0251377,255.165858,+0129489,-0251377,12:01:50.345829
255.175888,+0129765,-0250518,255.175888,+0129765,-0250518,12:01:50.348881
255.185889,+0129056,-0251226,255.185889,+0129056,-0251226,12:01:50.348881
255.195885,+0129958,-0250829,255.195885,+0129958,-0250829,12:01:50.348881
255.205881,+0129340,-0250800,255.205881,+0129340,-0250800,12:01:50.393321
255.215914,+0129743,-0251356,255.215914,+0129743,-0251356,12:01:50.393321
255.225915,+0129842,-0250518,255.225915,+0129842,-0250518,12:01:50.393321
255.235934,+0129357,-0251221,255.235934,+0129357,-0251221,12:01:50.394329
255.245932,+0130332,-0250667,255.245932,+0130332,-0250667,12:01:50.394329
255.255931,+0129392,-0250743,255.255931,+0129392,-0250743,12:01:50.439113
255.265964,+0129915,-0251234,255.265964,+0129915,-0251234,12:01:50.440117
255.275964,+0130104,-0250402,255.275964,+0130104,-0250402,12:01:50.440117
255.285958,+0129423,-0251151,255.285958,+0129423,-0251151,12:01:50.440117
255.295967,+0130309,-0250702,255.295967,+0130309,-0250702,12:01:50.440117
255.305962,+0129656,-0250588,255.305962,+0129656,-0250588,12:01:50.487883
255.315998,+0129928,-0251143,255.315998,+0129928,-0251143,12:01:50.487883
255.325999,+0130223,-0250276,255.325999,+0130223,-0250276,12:01:50.487883
255.335996,+0129494,-0251011,255.335996,+0129494,-0251011,12:01:50.487883
255.346018,+0129792,-0250600,255.346018,+0129792,-0250600,12:01:50.533258
255.356087,+0129792,-0250496,255.356087,+0129792,-0250496,12:01:50.533258
255.366108,+0129893,-0251239,255.366108,+0129893,-0251239,12:01:50.533258
255.376107,+0130240,-0250291,255.376107,+0130240,-0250291,12:01:50.534255
255.386143,+0129529,-0251096,255.386143,+0129529,-0251096,12:01:50.534255
255.396153,+0130511,-0250742,255.396153,+0130511,-0250742,12:01:50.579873
255.406265,+0129766,-0250531,255.406265,+0129766,-0250531,12:01:50.579873
255.416261,+0129971,-0251124,255.416261,+0129971,-0251124,12:01:50.580866
255.426257,+0130263,-0250287,255.426257,+0130263,-0250287,12:01:50.580866
255.436253,+0129459,-0251074,255.436253,+0129459,-0251074,12:01:50.580866
255.446280,+0130485,-0250633,255.446280,+0130485,-0250633,12:01:50.627605
255.456311,+0129806,-0250566,255.456311,+0129806,-0250566,12:01:50.627605
255.466308,+0129831,-0251235,255.466308,+0129831,-0251235,12:01:50.627605
255.476304,+0130337,-0250321,255.476304,+0130337,-0250321,12:01:50.627605
255.486300,+0129538,-0250717,255.486300,+0129538,-0250717,12:01:50.671419
255.496332,+0130516,-0250506,255.496332,+0130516,-0250506,12:01:50.672419
255.506332,+0130033,-0250446,255.506332,+0130033,-0250446,12:01:50.674417
255.516362,+0130264,-0251140,255.516362,+0130264,-0251140,12:01:50.674417
255.526358,+0130543,-0250203,255.526358,+0130543,-0250203,12:01:50.674417
255.536352,+0129966,-0250932,255.536352,+0129966,-0250932,12:01:50.719039
255.546394,+0130734,-0250490,255.546394,+0130734,-0250490,12:01:50.719039
255.556389,+0130228,-0250375,255.556389,+0130228,-0250375,12:01:50.719039
255.566387,+0130452,-0250989,255.566387,+0130452,-0250989,12:01:50.719039
255.576384,+0130595,-0250061,255.576384,+0130595,-0250061,12:01:50.719039
255.586383,+0129975,-0250794,255.586383,+0129975,-0250794,12:01:50.766403
255.596413,+0130885,-0250418,255.596413,+0130885,-0250418,12:01:50.766917
255.606409,+0130296,-0250332,255.606409,+0130296,-0250332,12:01:50.767932
255.616405,+0130500,-0250942,255.616405,+0130500,-0250942,12:01:50.767932
255.626400,+0130823,-0250031,255.626400,+0130823,-0250031,12:01:50.812122
255.636435,+0130212,-0250815,255.636435,+0130212,-0250815,12:01:50.812122
255.646458,+0130988,-0250447,255.646458,+0130988,-0250447,12:01:50.814399
255.656456,+0130448,-0250218,255.656456,+0130448,-0250218,12:01:50.814399
255.666452,+0130505,-0250883,255.666452,+0130505,-0250883,12:01:50.815394
255.676449,+0130845,-0250041,255.676449,+0130845,-0250041,12:01:50.859291
255.686482,+0130270,-0250629,255.686482,+0130270,-0250629,12:01:50.859291
255.696494,+0130995,-0250547,255.696494,+0130995,-0250547,12:01:50.861486
255.706496,+0130463,-0250147,255.706496,+0130463,-0250147,12:01:50.862485
255.716494,+0130741,-0250872,255.716494,+0130741,-0250872,12:01:50.906566
255.726490,+0131050,-0249994,255.726490,+0131050,-0249994,12:01:50.907168
255.736521,+0130238,-0250679,255.736521,+0130238,-0250679,12:01:50.909191
255.746528,+0130964,-0250423,255.746528,+0130964,-0250423,12:01:50.909191
255.756562,+0130498,-0250122,255.756562,+0130498,-0250122,12:01:50.909191
255.766558,+0130553,-0250926,255.766558,+0130553,-0250926,12:01:50.951986
255.776591,+0131018,-0249962,255.776591,+0131018,-0249962,12:01:50.951986
255.786588,+0130266,-0250821,255.786588,+0130266,-0250821,12:01:50.952997
255.796586,+0131211,-0250308,255.796586,+0131211,-0250308,12:01:50.952997
255.806586,+0130723,-0249991,255.806586,+0130723,-0249991,12:01:50.952997
255.816583,+0130821,-0250808,255.816583,+0130821,-0250808,12:01:51.002132
255.826616,+0131231,-0249831,255.826616,+0131231,-0249831,12:01:51.002132
255.836615,+0130582,-0250539,255.836615,+0130582,-0250539,12:01:51.002132
255.846613,+0131359,-0250231,255.846613,+0131359,-0250231,12:01:51.002132
255.856632,+0130930,-0249834,255.856632,+0130930,-0249834,12:01:51.003145
255.866632,+0131063,-0250585,255.866632,+0131063,-0250585,12:01:51.046955
255.876668,+0131351,-0249775,255.876668,+0131351,-0249775,12:01:51.047953
255.886670,+0130593,-0250570,255.886670,+0130593,-0250570,12:01:51.047953
255.896668,+0131543,-0250254,255.896668,+0131543,-0250254,12:01:51.047953
255.906665,+0130980,-0249952,255.906665,+0130980,-0249952,12:01:51.095476
255.916702,+0131188,-0250624,255.916702,+0131188,-0250624,12:01:51.095476
255.926701,+0131484,-0249689,255.926701,+0131484,-0249689,12:01:51.095476
255.936704,+0130776,-0250404,255.936704,+0130776,-0250404,12:01:51.097487
255.946703,+0131678,-0250238,255.946703,+0131678,-0250238,12:01:51.097487
255.956733,+0131156,-0249934,255.956733,+0131156,-0249934,12:01:51.144826
255.966768,+0131217,-0250695,255.966768,+0131217,-0250695,12:01:51.144826
255.976765,+0131526,-0249875,255.976765,+0131526,-0249875,12:01:51.144826
255.986761,+0130734,-0250395,255.986761,+0130734,-0250395,12:01:51.144826
255.996756,+0131689,-0250183,255.996756,+0131689,-0250183,12:01:51.144826
256.006757,+0131262,-0249806,256.006757,+0131262,-0249806,12:01:51.192189
256.016787,+0131192,-0250588,256.016787,+0131192,-0250588,12:01:51.192189
256.026786,+0131743,-0249649,256.026786,+0131743,-0249649,12:01:51.192189
256.036780,+0130772,-0250364,256.036780,+0130772,-0250364,12:01:51.193203
256.046780,+0131725,-0250165,256.046780,+0131725,-0250165,12:01:51.193203
256.056802,+0131213,-0249786,256.056802,+0131213,-0249786,12:01:51.236102
256.066829,+0131209,-0250665,256.066829,+0131209,-0250665,12:01:51.237354
256.076825,+0131752,-0249674,256.076825,+0131752,-0249674,12:01:51.237354
256.086820,+0130893,-0250248,256.086820,+0130893,-0250248,12:01:51.237354
256.096816,+0131873,-0250048,256.096816,+0131873,-0250048,12:01:51.283702
256.106846,+0131321,-0249730,256.106846,+0131321,-0249730,12:01:51.283702
256.116842,+0131230,-0250542,256.116842,+0131230,-0250542,12:01:51.283702
256.126838,+0131733,-0249619,256.126838,+0131733,-0249619,12:01:51.284688
256.136833,+0131063,-0250220,256.136833,+0131063,-0250220,12:01:51.284688
256.146829,+0131947,-0250138,256.146829,+0131947,-0250138,12:01:51.330054
256.156884,+0131596,-0249630,256.156884,+0131596,-0249630,12:01:51.332057
256.166901,+0131583,-0250597,256.166901,+0131583,-0250597,12:01:51.332057
256.176897,+0131935,-0249567,256.176897,+0131935,-0249567,12:01:51.332057
256.186892,+0131216,-0250133,256.186892,+0131216,-0250133,12:01:51.332057
256.196889,+0132120,-0250129,256.196889,+0132120,-0250129,12:01:51.376093
256.206918,+0131627,-0249514,256.206918,+0131627,-0249514,12:01:51.376882
256.216917,+0131663,-0250434,256.216917,+0131663,-0250434,12:01:51.376882
256.226915,+0132188,-0249429,256.226915,+0132188,-0249429,12:01:51.376882
256.236914,+0131418,-0250136,256.236914,+0131418,-0250136,12:01:51.423212
256.246947,+0132183,-0249956,256.246947,+0132183,-0249956,12:01:51.423212
256.256951,+0131616,-0249610,256.256951,+0131616,-0249610,12:01:51.423212
256.266971,+0131738,-0250446,256.266971,+0131738,-0250446,12:01:51.423212
256.276967,+0132234,-0249441,256.276967,+0132234,-0249441,12:01:51.423212
256.286962,+0131309,-0250075,256.286962,+0131309,-0250075,12:01:51.470002
256.296996,+0132113,-0249990,256.296996,+0132113,-0249990,12:01:51.470002
256.306997,+0131749,-0249585,256.306997,+0131749,-0249585,12:01:51.470948
256.316996,+0131639,-0250358,256.316996,+0131639,-0250358,12:01:51.470948
256.326992,+0132165,-0249327,256.326992,+0132165,-0249327,12:01:51.470948
256.336988,+0131370,-0250188,256.336988,+0131370,-0250188,12:01:51.516292
256.347017,+0132010,-0249921,256.347017,+0132010,-0249921,12:01:51.517415
256.357015,+0131817,-0249525,256.357015,+0131817,-0249525,12:01:51.517415
256.367055,+0131777,-0250336,256.367055,+0131777,-0250336,12:01:51.517415
256.377054,+0132309,-0249488,256.377054,+0132309,-0249488,12:01:51.562971
256.387087,+0131338,-0249999,256.387087,+0131338,-0249999,12:01:51.564148
256.397085,+0132186,-0250038,256.397085,+0132186,-0250038,12:01:51.564148
256.407082,+0131749,-0249616,256.407082,+0131749,-0249616,12:01:51.564148
256.417078,+0131729,-0250309,256.417078,+0131729,-0250309,12:01:51.564148
256.427074,+0132287,-0249508,256.427074,+0132287,-0249508,12:01:51.610079
256.437105,+0131393,-0250017,256.437105,+0131393,-0250017,12:01:51.610983
256.447104,+0132202,-0249895,256.447104,+0132202,-0249895,12:01:51.610983
256.457101,+0131932,-0249524,256.457101,+0131932,-0249524,12:01:51.610983
256.467124,+0131853,-0250315,256.467124,+0131853,-0250315,12:01:51.656723
256.477142,+0132216,-0249409,256.477142,+0132216,-0249409,12:01:51.656723
256.487174,+0131510,-0249925,256.487174,+0131510,-0249925,12:01:51.656723
256.497169,+0132183,-0249961,256.497169,+0132183,-0249961,12:01:51.656723
256.507169,+0131782,-0249330,256.507169,+0131782,-0249330,12:01:51.657743
256.517166,+0131735,-0250385,256.517166,+0131735,-0250385,12:01:51.703510
256.527198,+0132249,-0249533,256.527198,+0132249,-0249533,12:01:51.703510
256.537200,+0131577,-0249999,256.537200,+0131577,-0249999,12:01:51.703510
256.547194,+0132266,-0250059,256.547194,+0132266,-0250059,12:01:51.703510
256.557193,+0131822,-0249415,256.557193,+0131822,-0249415,12:01:51.703510
256.567220,+0131863,-0250333,256.567220,+0131863,-0250333,12:01:51.749869
256.577255,+0132247,-0249479,256.577255,+0132247,-0249479,12:01:51.751860
256.587252,+0131441,-0249943,256.587252,+0131441,-0249943,12:01:51.751860
256.597250,+0132279,-0250017,256.597250,+0132279,-0250017,12:01:51.751860
256.607246,+0131806,-0249342,256.607246,+0131806,-0249342,12:01:51.797709
256.617280,+0131665,-0250315,256.617280,+0131665,-0250315,12:01:51.797709
256.627309,+0132394,-0249382,256.627309,+0132394,-0249382,12:01:51.797709
256.637306,+0131462,-0249966,256.637306,+0131462,-0249966,12:01:51.797709
256.647302,+0132180,-0249974,256.647302,+0132180,-0249974,12:01:51.799717
256.657299,+0131713,-0249432,256.657299,+0131713,-0249432,12:01:51.844078
256.667372,+0131713,-0250307,256.667372,+0131713,-0250307,12:01:51.844078
256.677373,+0132380,-0249510,256.677373,+0132380,-0249510,12:01:51.844078
256.687374,+0131279,-0250052,256.687374,+0131279,-0250052,12:01:51.844078
256.697371,+0132056,-0250038,256.697371,+0132056,-0250038,12:01:51.844078
256.707367,+0131961,-0249507,256.707367,+0131961,-0249507,12:01:51.891518
256.717407,+0131667,-0250276,256.717407,+0131667,-0250276,12:01:51.891518
256.727406,+0132354,-0249404,256.727406,+0132354,-0249404,12:01:51.891518
256.737402,+0131432,-0250029,256.737402,+0131432,-0250029,12:01:51.891518
256.747397,+0132075,-0249916,256.747397,+0132075,-0249916,12:01:51.891518
256.757398,+0131951,-0249588,256.757398,+0131951,-0249588,12:01:51.938326
256.767432,+0131629,-0250231,256.767432,+0131629,-0250231,12:01:51.939448
256.777472,+0132272,-0249577,256.777472,+0132272,-0249577,12:01:51.939448
256.787467,+0131457,-0249949,256.787467,+0131457,-0249949,12:01:51.939448
256.797461,+0132162,-0249987,256.797461,+0132162,-0249987,12:01:51.984845
256.807510,+0131776,-0249386,256.807510,+0131776,-0249386,12:01:51.984845
256.817508,+0131696,-0250333,256.817508,+0131696,-0250333,12:01:51.984845
256.827505,+0132304,-0249386,256.827505,+0132304,-0249386,12:01:51.984845
256.837501,+0131454,-0250036,256.837501,+0131454,-0250036,12:01:51.984845
256.847500,+0132049,-0250118,256.847500,+0132049,-0250118,12:01:52.032157
256.857591,+0131902,-0249409,256.857591,+0131902,-0249409,12:01:52.032738
256.867590,+0131662,-0250293,256.867590,+0131662,-0250293,12:01:52.032738
256.877631,+0132325,-0249593,256.877631,+0132325,-0249593,12:01:52.032738
256.887631,+0131403,-0249931,256.887631,+0131403,-0249931,12:01:52.032738
256.897627,+0132052,-0250111,256.897627,+0132052,-0250111,12:01:52.080590
256.907659,+0131965,-0249475,256.907659,+0131965,-0249475,12:01:52.081516
256.917661,+0131660,-0250375,256.917661,+0131660,-0250375,12:01:52.081516
256.927664,+0132285,-0249506,256.927664,+0132285,-0249506,12:01:52.082512
256.937666,+0131460,-0249913,256.937666,+0131460,-0249913,12:01:52.126232
256.947744,+0132166,-0250225,256.947744,+0132166,-0250225,12:01:52.126232
256.957773,+0131925,-0249389,256.957773,+0131925,-0249389,12:01:52.126232
256.967768,+0131770,-0250296,256.967768,+0131770,-0250296,12:01:52.126232
256.977795,+0132287,-0249629,256.977795,+0132287,-0249629,12:01:52.126232
256.987806,+0131348,-0249979,256.987806,+0131348,-0249979,12:01:52.171604
256.997839,+0132029,-0249989,256.997839,+0132029,-0249989,12:01:52.172813
257.007836,+0131840,-0249420,257.007836,+0131840,-0249420,12:01:52.172813
257.017832,+0131569,-0250275,257.017832,+0131569,-0250275,12:01:52.172813
257.027828,+0132278,-0249649,257.027828,+0132278,-0249649,12:01:52.172813
257.037826,+0131275,-0249963,257.037826,+0131275,-0249963,12:01:52.218997
257.047860,+0132149,-0250065,257.047860,+0132149,-0250065,12:01:52.219996
257.057893,+0131940,-0249456,257.057893,+0131940,-0249456,12:01:52.219996
257.067894,+0131669,-0250349,257.067894,+0131669,-0250349,12:01:52.219996
257.077909,+0132286,-0249711,257.077909,+0132286,-0249711,12:01:52.265018
257.087946,+0131337,-0249910,257.087946,+0131337,-0249910,12:01:52.265018
257.097947,+0132062,-0250126,257.097947,+0132062,-0250126,12:01:52.265018
257.107944,+0131834,-0249521,257.107944,+0131834,-0249521,12:01:52.265018
257.117938,+0131555,-0250372,257.117938,+0131555,-0250372,12:01:52.265018
257.127936,+0132206,-0249530,257.127936,+0132206,-0249530,12:01:52.316975
257.138028,+0131338,-0249815,257.138028,+0131338,-0249815,12:01:52.318083
257.148026,+0131990,-0250088,257.148026,+0131990,-0250088,12:01:52.318083
257.158022,+0131965,-0249366,257.158022,+0131965,-0249366,12:01:52.318083
257.168019,+0131692,-0250266,257.168019,+0131692,-0250266,12:01:52.318083
257.178017,+0131466,-0249570,257.178017,+0131466,-0249570,12:01:52.374561
257.188060,+0131466,-0249878,257.188060,+0131466,-0249878,12:01:52.374561
257.198054,+0131853,-0250224,257.198054,+0131853,-0250224,12:01:52.375575
257.208054,+0131768,-0249436,257.208054,+0131768,-0249436,12:01:52.375575
257.218051,+0131368,-0250448,257.218051,+0131368,-0250448,12:01:52.375575
257.228046,+0132208,-0249753,257.228046,+0132208,-0249753,12:01:52.375575
257.238044,+0131443,-0249809,257.238044,+0131443,-0249809,12:01:52.421758
257.248137,+0132001,-0250179,257.248137,+0132001,-0250179,12:01:52.421758
257.258141,+0131802,-0249400,257.258141,+0131802,-0249400,12:01:52.421758
257.268139,+0131652,-0250272,257.268139,+0131652,-0250272,12:01:52.421758
257.278133,+0132372,-0249519,257.278133,+0132372,-0249519,12:01:52.421758
257.288156,+0131489,-0249858,257.288156,+0131489,-0249858,12:01:52.468798
257.298188,+0131925,-0250174,257.298188,+0131925,-0250174,12:01:52.468798
257.308184,+0131894,-0249346,257.308184,+0131894,-0249346,12:01:52.468798
257.318186,+0131565,-0250327,257.318186,+0131565,-0250327,12:01:52.468798
257.328189,+0132431,-0249531,257.328189,+0132431,-0249531,12:01:52.515102
257.338220,+0131413,-0249726,257.338220,+0131413,-0249726,12:01:52.515102
257.348216,+0132050,-0249909,257.348216,+0132050,-0249909,12:01:52.515102
257.358220,+0132100,-0249203,257.358220,+0132100,-0249203,12:01:52.515102
257.368215,+0131752,-0250192,257.368215,+0131752,-0250192,12:01:52.515102
257.378214,+0132563,-0249486,257.378214,+0132563,-0249486,12:01:52.564925
257.388312,+0131700,-0249643,257.388312,+0131700,-0249643,12:01:52.564925
257.398325,+0132210,-0249991,257.398325,+0132210,-0249991,12:01:52.564925
257.408322,+0132178,-0249148,257.408322,+0132178,-0249148,12:01:52.564925
257.418356,+0131609,-0250192,257.418356,+0131609,-0250192,12:01:52.564925
257.428355,+0132486,-0249484,257.428355,+0132486,-0249484,12:01:52.608853
257.438387,+0131828,-0249730,257.438387,+0131828,-0249730,12:01:52.609690
257.448386,+0132281,-0250013,257.448386,+0132281,-0250013,12:01:52.609690
257.458385,+0132262,-0249162,257.458385,+0132262,-0249162,12:01:52.609690
257.468381,+0131914,-0250044,257.468381,+0131914,-0250044,12:01:52.654923
257.478426,+0132630,-0249441,257.478426,+0132630,-0249441,12:01:52.655785
257.488444,+0131859,-0249542,257.488444,+0131859,-0249542,12:01:52.655785
257.498450,+0132436,-0249924,257.498450,+0132436,-0249924,12:01:52.655785
257.508456,+0132331,-0249137,257.508456,+0132331,-0249137,12:01:52.655785
257.518458,+0131795,-0250057,257.518458,+0131795,-0250057,12:01:52.702924
257.528538,+0132459,-0249412,257.528538,+0132459,-0249412,12:01:52.703556
257.538543,+0131985,-0249636,257.538543,+0131985,-0249636,12:01:52.703556
257.548538,+0132275,-0250048,257.548538,+0132275,-0250048,12:01:52.703556
257.558536,+0132379,-0249112,257.558536,+0132379,-0249112,12:01:52.703556
257.568531,+0131935,-0250051,257.568531,+0131935,-0250051,12:01:52.749114
257.578565,+0132733,-0249425,257.578565,+0132733,-0249425,12:01:52.750111
257.588572,+0131934,-0249446,257.588572,+0131934,-0249446,12:01:52.750111
257.598614,+0132267,-0249932,257.598614,+0132267,-0249932,12:01:52.750111
257.608608,+0132368,-0249182,257.608608,+0132368,-0249182,12:01:52.797826
257.618638,+0131769,-0250071,257.618638,+0131769,-0250071,12:01:52.797826
257.628637,+0132599,-0249602,257.628637,+0132599,-0249602,12:01:52.797826
257.638637,+0132003,-0249631,257.638637,+0132003,-0249631,12:01:52.797826
257.648632,+0132270,-0250059,257.648632,+0132270,-0250059,12:01:52.798835
257.658628,+0132421,-0249037,257.658628,+0132421,-0249037,12:01:52.843253
257.668667,+0131809,-0250071,257.668667,+0131809,-0250071,12:01:52.843253
257.678668,+0132643,-0249517,257.678668,+0132643,-0249517,12:01:52.843253
257.688669,+0132043,-0249428,257.688669,+0132043,-0249428,12:01:52.843253
257.698686,+0132268,-0250011,257.698686,+0132268,-0250011,12:01:52.843253
257.708680,+0132341,-0249199,257.708680,+0132341,-0249199,12:01:52.891328
257.718712,+0131727,-0250155,257.718712,+0131727,-0250155,12:01:52.891328
257.728710,+0132677,-0249516,257.728710,+0132677,-0249516,12:01:52.892342
257.738709,+0131968,-0249369,257.738709,+0131968,-0249369,12:01:52.892342
257.748708,+0132376,-0249985,257.748708,+0132376,-0249985,12:01:52.936681
257.758762,+0132469,-0249158,257.758762,+0132469,-0249158,12:01:52.937716
257.768757,+0131857,-0249926,257.768757,+0131857,-0249926,12:01:52.937716
257.778753,+0132654,-0249580,257.778753,+0132654,-0249580,12:01:52.937716
257.788747,+0129532,-0253641,257.788747,+0129532,-0253641,12:01:52.937716
257.798779,+0115352,-0265351,257.798779,+0115352,-0265351,12:01:52.983141
257.808814,+0087982,-0281044,257.808814,+0087982,-0281044,12:01:52.983141
257.818808,+0052990,-0301240,257.818808,+0052990,-0301240,12:01:52.984433
257.828802,+0012769,-0324067,257.828802,+0012769,-0324067,12:01:52.984433
257.838800,-0036484,-0350946,257.838800,-0036484,-0350946,12:01:52.984433
257.848797,-0089979,-0380677,257.848797,-0089979,-0380677,12:01:53.032452
257.858830,-0147717,-0410800,257.858830,-0147717,-0410800,12:01:53.032452
257.868828,-0209580,-0444229,257.868828,-0209580,-0444229,12:01:53.032452
257.878825,-0271776,-0476885,257.878825,-0271776,-0476885,12:01:53.032452
257.888823,-0337386,-0511187,257.888823,-0337386,-0511187,12:01:53.078292
257.898847,-0403060,-0544639,257.898847,-0403060,-0544639,12:01:53.078292
257.908877,-0446197,-0552397,257.908877,-0446197,-0552397,12:01:53.079342
257.918875,-0450778,-0553669,257.918875,-0450778,-0553669,12:01:53.079342
257.928876,-0450137,-0553288,257.928876,-0450137,-0553288,12:01:53.079342
257.938876,-0450781,-0553262,257.938876,-0450781,-0553262,12:01:53.127588
257.948912,-0450545,-0553785,257.948912,-0450545,-0553785,12:01:53.129608
257.958911,-0450420,-0552843,257.958911,-0450420,-0552843,12:01:53.129608
257.968906,-0450989,-0553685,257.968906,-0450989,-0553685,12:01:53.129608
257.978902,-0450181,-0553249,257.978902,-0450181,-0553249,12:01:53.130609
257.988896,-0450733,-0553019,257.988896,-0450733,-0553019,12:01:53.172436
257.998928,-0450216,-0553567,257.998928,-0450216,-0553567,12:01:53.172436
258.008946,-0450100,-0552694,258.008946,-0450100,-0552694,12:01:53.172436
258.018942,-0450735,-0553500,258.018942,-0450735,-0553500,12:01:53.172436
258.028937,-0449872,-0552933,258.028937,-0449872,-0552933,12:01:53.219908
258.038932,-0450468,-0552940,258.038932,-0450468,-0552940,12:01:53.219908
258.048961,-0449984,-0553414,258.048961,-0449984,-0553414,12:01:53.221003
258.058957,-0449809,-0552475,258.058957,-0449809,-0552475,12:01:53.221003
258.068956,-0450578,-0553358,258.068956,-0450578,-0553358,12:01:53.221003
258.078952,-0449534,-0552822,258.078952,-0449534,-0552822,12:01:53.266850
258.088985,-0450284,-0552967,258.088985,-0450284,-0552967,12:01:53.267850
258.098982,-0449989,-0553356,258.098982,-0449989,-0553356,12:01:53.267850
258.108999,-0449720,-0552468,258.108999,-0449720,-0552468,12:01:53.267850
258.118996,-0450292,-0553369,258.118996,-0450292,-0553369,12:01:53.267850
258.128993,-0449462,-0552882,258.128993,-0449462,-0552882,12:01:53.313140
258.139027,-0450278,-0552885,258.139027,-0450278,-0552885,12:01:53.313140
258.149029,-0449879,-0553371,258.149029,-0449879,-0553371,12:01:53.313140
258.159025,-0449609,-0552534,258.159025,-0449609,-0552534,12:01:53.313140
258.169020,-0450322,-0553292,258.169020,-0450322,-0553292,12:01:53.313140
258.179016,-0449432,-0552748,258.179016,-0449432,-0552748,12:01:53.359496
258.189048,-0450028,-0552794,258.189048,-0450028,-0552794,12:01:53.359496
258.199080,-0449728,-0553335,258.199080,-0449728,-0553335,12:01:53.359496
258.209106,-0449490,-0552530,258.209106,-0449490,-0552530,12:01:53.359496
258.219119,-0450103,-0553246,258.219119,-0450103,-0553246,12:01:53.406369
258.229157,-0449241,-0552910,258.229157,-0449241,-0552910,12:01:53.406369
258.239153,-0449917,-0552632,258.239153,-0449917,-0552632,12:01:53.406369
258.249149,-0449682,-0553458,258.249149,-0449682,-0553458,12:01:53.406369
258.259146,-0449583,-0552441,258.259146,-0449583,-0552441,12:01:53.407369
258.269144,-0450072,-0553149,258.269144,-0450072,-0553149,12:01:53.452690
258.279230,-0449307,-0552699,258.279230,-0449307,-0552699,12:01:53.452690
258.289231,-0449988,-0552666,258.289231,-0449988,-0552666,12:01:53.452690
258.299226,-0449722,-0553330,258.299226,-0449722,-0553330,12:01:53.452690
258.309249,-0449256,-0552308,258.309249,-0449256,-0552308,12:01:53.498759
258.319249,-0450102,-0553264,258.319249,-0450102,-0553264,12:01:53.498759
258.329285,-0449254,-0552773,258.329285,-0449254,-0552773,12:01:53.498759
258.339283,-0449916,-0552617,258.339283,-0449916,-0552617,12:01:53.498759
258.349281,-0449589,-0553255,258.349281,-0449589,-0553255,12:01:53.498759
258.359281,-0449371,-0552280,258.359281,-0449371,-0552280,12:01:53.545487
258.369314,-0450028,-0553105,258.369314,-0450028,-0553105,12:01:53.545487
258.379310,-0449182,-0552725,258.379310,-0449182,-0552725,12:01:53.546975
258.389305,-0449758,-0552659,258.389305,-0449758,-0552659,12:01:53.546975
258.399299,-0449587,-0553282,258.399299,-0449587,-0553282,12:01:53.546975
258.409318,-0449297,-0552331,258.409318,-0449297,-0552331,12:01:53.593196
258.419393,-0450053,-0552934,258.419393,-0450053,-0552934,12:01:53.593196
258.429396,-0449220,-0552729,258.429396,-0449220,-0552729,12:01:53.593196
258.439393,-0449688,-0552707,258.439393,-0449688,-0552707,12:01:53.593196
258.449389,-0449605,-0553275,258.449389,-0449605,-0553275,12:01:53.593196
258.459386,-0449306,-0552346,258.459386,-0449306,-0552346,12:01:53.638832
258.469437,-0449893,-0553006,258.469437,-0449893,-0553006,12:01:53.638832
258.479434,-0449203,-0552675,258.479434,-0449203,-0552675,12:01:53.638832
258.489430,-0449810,-0552538,258.489430,-0449810,-0552538,12:01:53.638832
258.499426,-0449461,-0553195,258.499426,-0449461,-0553195,12:01:53.685539
258.509471,-0449206,-0552220,258.509471,-0449206,-0552220,12:01:53.685539
258.519492,-0450035,-0553064,258.519492,-0450035,-0553064,12:01:53.686539
